BTOP_CHAMP_MAST,BJGL_CHAMP_MAST,BMID_CHAMP_MAST,BBOT_CHAMP_MAST,BSUP_CHAMP_MAST,RTOP_CHAMP_MAST,RJGL_CHAMP_MAST,RMID_CHAMP_MAST,RBOT_CHAMP_MAST,RSUP_CHAMP_MAST
912683,48878,158066,10724,17031,13636,401273,6565,332254,158776
278076,113293,158066,47561,98618,30394,18813,45939,62985,61348
8136,355083,144562,101135,48190,121620,58926,96351,95524,381
259218,1591176,158066,190187,247919,24265,184300,48556,20945,123098
234073,2827,89662,181850,88036,6290,16059,144686,3726,1130062
485473,3488,30284,81600,1650801,551271,73912,22956,68041,42094
97332,18111,158066,252683,87881,81349,83017,7118,112494,38093
74609,18831,380436,125651,5757,46571,40737,284271,60411,17645
1110725,2433,93946,15711,2805,272905,24578,144686,42765,230929
10198,56551,68246,39745,919414,2779205,23285,158066,16845,53016
41446,176190,22956,57637,42094,35846,105089,4910,23018,919414
1161674,48878,133542,78258,1286759,35846,105089,144686,57637,919414
3894027,307641,54097,31736,4054,1236940,32709,210271,39131,3385
13736,1480,294275,71326,10210,485473,133908,54670,39954,32554
17440,25142,195052,180184,3178,1136849,108298,12157,126830,20343
1056496,13149,30662,80127,20653,368098,12144,32864,166920,389671
53308,15450,420414,83224,37433,255577,25142,10324,69757,8417
18911,21103,420414,87980,6368,21660,5769,33392,147644,1137
125283,461706,50523,24051,13577,156125,3834,1064438,87168,43872
12115,32709,70958,5171,8024,19439,92932,89606,87168,27456
410531,271448,434944,24700,18157,7711,121244,688558,318207,77857
517409,991697,9934,14850,413479,3416,21103,154908,13776,538863
51247,90372,145220,87168,1985368,77082,32709,9099,149633,75147
8983,197314,134909,14099,124932,13736,1593061,36186,24056,131637
93778,62329,161839,163977,211814,55346,1593061,1414,43516,27860
22106,6649,7029,275276,336447,75538,21103,52163,82899,70959
149886,197314,42358,418529,21142,76582,6649,770994,4580,765704
547553,13149,770994,270927,390151,706480,126912,95179,60632,97547
3726,113150,8451,34057,44454,3148,21103,1220378,1159008,4638
57348,290380,703658,1159008,44454,380630,25142,3360885,108867,157104
6637,245374,31301,53273,16605,2574,271448,208303,129619,56887
36370,32709,20253,932201,28283,259941,226247,434944,64130,44418
1068864,6984,87665,6648,57917,551271,52083,503090,426061,49713
3662,185827,116331,89585,57917,8779,27450,28598,11649,129619
68347,35212,28646,97027,214014,297410,51454,99969,241449,131630
62203,219199,1244852,19735,25180,147745,14938,92522,7581,37725
3060501,98426,174590,204126,229354,148646,36108,54234,180932,919414
4681,170988,12975,774467,16003,27180,52126,66689,56203,214533
324544,98426,134909,72424,52161,63406,5342,218452,63637,919414
51300,68302,234221,21163,1113144,21626,87356,448109,1159008,230410
56802,1591176,871,92522,1985368,39839,27624,853486,209305,29126
97332,7247,203356,10638,61638,46397,1593061,135748,293713,27088
177104,1229808,92522,14246,26554,1965607,85163,110469,7045,62387
177104,174849,66689,248711,272225,203864,27081,183642,442,2335
856152,294934,62887,957853,30271,144572,27081,91526,234221,33052
133266,179113,39945,11411,53604,1455731,35977,18008,108794,20517
18142,115170,19393,39821,52211,23834,62997,66689,118589,69254
8981,27081,92522,40236,52161,30724,65635,116308,143331,371231
13276,69340,165291,101255,17562,87980,11277,66689,12986,115727
21708,10072,92522,110,1113144,2656,134100,120298,42094,63539
1963663,104565,689293,69757,176520,24086,48878,97458,150239,613981
12372,251334,99769,1159008,212625,819634,7387,398463,216072,765704
52477,14840,2368,108208,1985368,8823,84683,135748,77767,99371
97379,68302,31771,233841,52283,138519,9070,258559,34057,416500
51157,24243,31771,11695,107405,77082,3583,3360885,215490,138264
665445,134100,193811,33833,105645,3060501,37258,36396,24700,1650801
1767987,34635,54585,768095,27668,665445,580421,31586,46979,117529
289324,126503,1673086,138778,1306,3200,185827,19395,40791,105645
36478,1283538,586052,363818,47118,637635,53566,690000,20351,13407
6515,11690,505169,10638,583942,295005,46407,1713362,87370,37625
25871,16211,124971,179902,443453,22193,256745,100783,16939,279308
18871,74028,32338,62985,335322,97332,376231,49192,56195,128642
876,94830,145220,150314,164606,189953,24578,65079,48223,99371
12772,114380,228643,15361,1713362,74729,42217,125332,9675,105645
97332,2098,505169,242821,99371,32737,14053,43667,91629,613981
185589,12989,398463,15120,3851,82186,24578,29513,56909,99371
81349,2098,13290,140988,89567,44769,39320,152503,768095,35877
76673,74136,366885,413,47118,56820,36063,80808,768095,230410
150572,53995,514200,11496,478816,853608,13849,24981,135648,168707
83719,115170,30265,458742,68459,507703,140402,81541,51823,182286
88002,9934,3725,87406,27439,63406,75195,778329,186959,52211
49070,3914,426617,169564,532311,51300,35904,14777,24902,487776
16064,72582,398842,19264,13500,372557,623415,51166,40705,497956
76389,765512,22231,19272,140003,63406,84431,162860,72424,779531
1464,98426,41664,1787,68786,856152,51636,194922,15120,20517
503594,49013,208303,89497,39007,551271,175832,126830,24982,211814
853608,16064,267850,2720,1713362,155085,334773,2023932,189314,59185
324560,88133,32705,871,98618,551271,1283538,145220,8089,24133
63406,18813,32705,45900,1985368,4781,20995,1744888,1365,1650801
1142,850917,188230,83475,274374,193543,41887,67554,758251,27834
