BTOP_WINS,BTOP_LOSSES,BTOP_LEAGUE_POINTS,BJGL_WINS,BJGL_LOSSES,BJGL_LEAGUE_POINTS,BMID_WINS,BMID_LOSSES,BMID_LEAGUE_POINTS,BBOT_WINS,BBOT_LOSSES,BBOT_LEAGUE_POINTS,BSUP_WINS,BSUP_LOSSES,BSUP_LEAGUE_POINTS,RTOP_WINS,RTOP_LOSSES,RTOP_LEAGUE_POINTS,RJGL_WINS,RJGL_LOSSES,RJGL_LEAGUE_POINTS,RMID_WINS,RMID_LOSSES,RMID_LEAGUE_POINTS,RBOT_WINS,RBOT_LOSSES,RBOT_LEAGUE_POINTS,RSUP_WINS,RSUP_LOSSES,RSUP_LEAGUE_POINTS
409,388,636,429,373,960,495,433,1047,239,180,905,257,209,748,573,537,631,242,180,1105,688.0,624.0,1196.0,483.0,434.0,895.0,531.0,421.0,1061.0
627,580,867,386,332,1071,688,624,1196,294,248,856,347,306,714,355,278,766,387,346,795,814.0,748.0,1207.0,483.0,434.0,895.0,806.0,765.0,653.0
293,253,637,419,358,704,411,369,828,483,434,895,531,421,1061,537,475,971,242,180,1105,473.0,363.0,620.0,544.0,466.0,966.0,522.0,470.0,904.0
390,330,870,269,196,816,303,269,698,294,248,856,438,385,943,336,256,758,25,1,66,257.0,204.0,1042.0,483.0,434.0,895.0,522.0,470.0,904.0
9,1,75,242,180,1105,236,169,1061,615,539,1044,522,470,904,365,315,826,269,196,816,151.0,102.0,825.0,483.0,434.0,895.0,531.0,421.0,1061.0
11,4,79,505,453,991,269,212,914,483,434,895,565,473,1103,333,290,761,249,173,1343,411.0,369.0,828.0,575.0,500.0,824.0,356.0,305.0,913.0
333,290,761,9,9,78,869,813,1009,239,180,905,576,506,1197,567,506,983,373,318,985,336.0,256.0,758.0,923.0,854.0,1011.0,892.0,821.0,949.0
593,543,730,179,122,1511,425,359,1086,537,475,971,173,135,692,336,256,758,333,290,761,463.0,387.0,1222.0,355.0,278.0,766.0,668.0,607.0,988.0
364,318,565,304,227,1370,236,198,686,390,330,870,619,546,816,573,537,631,333,290,761,315.0,270.0,826.0,449.0,401.0,849.0,523.0,480.0,604.0
485,435,719,56,50,50,384,323,945,812,747,1139,581,528,919,321,272,566,333,290,761,389.0,303.0,1462.0,465.0,417.0,876.0,619.0,546.0,816.0
242,173,833,333,290,761,884,806,1001,720,668,776,6,5,63,63,35,291,546,515,592,175.0,113.0,594.0,522.0,470.0,904.0,552.0,497.0,704.0
884,806,1001,121,84,603,821,782,511,531,492,732,407,352,629,694,652,565,646,611,484,333.0,290.0,761.0,419.0,375.0,744.0,214.0,151.0,700.0
350,297,941,333,290,761,142,87,817,102,78,514,783,721,1121,245,201,857,280,226,1031,662.0,590.0,1059.0,537.0,475.0,971.0,669.0,607.0,1164.0
350,297,941,728,668,983,772,708,1076,796,737,1013,391,356,696,557,493,1251,333,290,761,147.0,112.0,849.0,516.0,466.0,747.0,137.0,92.0,874.0
200,135,1154,687,634,885,918,853,1125,796,737,1013,473,422,893,333,290,761,668,587,1140,609.0,542.0,1104.0,319.0,274.0,843.0,559.0,486.0,1069.0
403,344,1038,1288,1238,826,114,64,647,337,285,977,504,450,873,333,290,761,918,853,1125,471.0,420.0,865.0,756.0,708.0,867.0,522.0,470.0,904.0
333,290,761,1288,1238,826,471,420,865,615,539,1044,504,452,1024,1072,1013,988,772,709,1058,337.0,285.0,977.0,756.0,708.0,867.0,650.0,596.0,946.0
374,323,774,333,290,761,633,579,911,580,523,1073,548,486,1059,245,201,857,280,226,1031,354.0,270.0,1548.0,579.0,525.0,819.0,651.0,602.0,587.0
293,238,1018,333,290,761,533,477,1023,294,248,856,6,4,35,512,457,815,614,568,765,688.0,624.0,1196.0,923.0,854.0,1011.0,538.0,482.0,1234.0
280,227,643,858,819,595,1184,1139,730,436,389,762,619,568,723,232,183,722,333,290,761,862.0,816.0,536.0,319.0,274.0,843.0,420.0,372.0,665.0
567,506,983,124,89,549,796,755,552,164,128,559,522,474,498,8,3,90,333,290,761,360.0,277.0,1018.0,294.0,241.0,1096.0,411.0,368.0,638.0
573,537,631,333,290,761,660,586,1263,532,484,935,714,624,817,455,405,1016,772,709,1058,548.0,486.0,1059.0,812.0,747.0,1139.0,650.0,596.0,946.0
11,4,79,682,639,712,269,212,914,575,500,824,356,305,913,715,659,1003,333,290,761,411.0,369.0,828.0,532.0,484.0,935.0,391.0,356.0,696.0
415,339,1196,333,290,761,269,212,914,102,78,514,356,305,913,575,499,1442,1288,1238,826,221.0,182.0,705.0,483.0,434.0,895.0,473.0,422.0,893.0
13,8,37,280,226,1031,269,212,914,807,755,740,347,306,714,333,290,761,242,180,1105,38.0,32.0,60.0,381.0,325.0,1030.0,356.0,305.0,913.0
374,323,774,581,528,919,411,369,828,117,66,709,226,157,1204,531,483,862,500,466,585,354.0,270.0,1548.0,575.0,500.0,824.0,438.0,385.0,943.0
557,493,1251,277,213,1169,517,448,1125,615,539,1038,570,497,1215,20,18,100,467,377,1342,354.0,270.0,1548.0,544.0,466.0,966.0,347.0,306.0,714.0
497,428,1272,150,93,847,68,18,271,340,267,1305,892,819,985,557,493,1251,744,641,1481,354.0,270.0,1548.0,444.0,393.0,820.0,516.0,466.0,747.0
715,659,1003,448,423,546,354,270,1548,204,143,754,787,725,701,403,344,1038,668,587,1140,495.0,433.0,1047.0,104.0,79.0,534.0,576.0,506.0,1197.0
306,249,630,886,860,860,354,270,1548,787,725,701,448,384,1003,431,359,1435,687,634,885,609.0,542.0,1104.0,294.0,248.0,856.0,7.0,4.0,1.0
559,486,1069,225,170,1074,662,590,1059,444,373,1294,226,157,1204,240,176,1075,741,668,990,354.0,270.0,1548.0,663.0,607.0,891.0,449.0,384.0,1020.0
445,397,658,370,329,350,354,270,1548,736,704,618,715,663,784,495,433,1047,112,75,666,918.0,853.0,1125.0,294.0,248.0,856.0,651.0,602.0,587.0
357,319,842,112,75,666,354,270,1548,615,539,1044,7,4,1,693,624,805,844,778,734,85.0,54.0,620.0,394.0,323.0,1145.0,511.0,428.0,1289.0
668,606,1166,668,587,1140,408,355,843,5,9,84,414,340,825,485,435,719,886,860,860,354.0,270.0,1548.0,400.0,345.0,865.0,552.0,497.0,704.0
573,537,631,500,464,618,609,542,1104,9,9,67,354,270,1548,497,428,1272,814,748,1207,662.0,590.0,1059.0,796.0,737.0,1013.0,395.0,326.0,1175.0
20,18,100,662,590,1059,10,8,33,205,158,754,395,326,1175,240,176,1075,814,748,1207,354.0,270.0,1548.0,724.0,660.0,1073.0,516.0,466.0,747.0
20,18,100,10,5,75,783,721,1121,796,737,1013,395,326,1175,389,303,1462,408,356,825,354.0,270.0,1548.0,736.0,704.0,618.0,6.0,5.0,63.0
222,154,763,233,177,994,354,270,1548,615,539,1044,504,452,1024,573,537,631,168,108,1013,688.0,624.0,1196.0,892.0,821.0,949.0,716.0,663.0,803.0
455,405,1016,311,246,1049,548,486,1059,332,271,1259,294,227,891,20,18,100,22,8,66,354.0,270.0,1548.0,294.0,241.0,1096.0,84.0,35.0,590.0
609,542,1104,109,91,419,662,590,1059,736,704,618,1018,968,755,455,405,1016,886,860,860,315.0,248.0,979.0,575.0,500.0,824.0,354.0,270.0,1548.0
