BTOP_WINS,BTOP_LOSSES,BTOP_LEAGUE_POINTS,BJGL_WINS,BJGL_LOSSES,BJGL_LEAGUE_POINTS,BMID_WINS,BMID_LOSSES,BMID_LEAGUE_POINTS,BBOT_WINS,BBOT_LOSSES,BBOT_LEAGUE_POINTS,BSUP_WINS,BSUP_LOSSES,BSUP_LEAGUE_POINTS,RTOP_WINS,RTOP_LOSSES,RTOP_LEAGUE_POINTS,RJGL_WINS,RJGL_LOSSES,RJGL_LEAGUE_POINTS,RMID_WINS,RMID_LOSSES,RMID_LEAGUE_POINTS,RBOT_WINS,RBOT_LOSSES,RBOT_LEAGUE_POINTS,RSUP_WINS,RSUP_LOSSES,RSUP_LEAGUE_POINTS
228,156,1068,310,268,859,721,645,1272,159,109,823,612,549,1192,13,4,66,218,180,759,686.0,619.0,1255.0,227,162,1221,407,372,888
58,29,90,721,645,1272,344,319,486,21,20,9,300,294,515,197,145,1075,58,58,33,394.0,359.0,860.0,18,16,59,37,37,47
385,334,798,575,538,874,397,351,959,344,286,1066,301,266,755,962,916,775,61,43,543,721.0,646.0,1256.0,23,23,41,483,431,1013
962,916,775,762,731,907,259,224,745,186,148,862,530,489,941,506,471,720,196,150,723,721.0,646.0,1256.0,26,11,75,178,127,871
131,82,739,541,485,912,684,619,1224,744,678,1315,34,34,28,237,183,1011,147,114,978,721.0,646.0,1256.0,1089,1035,1008,414,398,942
8,10,11,320,276,891,721,645,1272,265,240,586,19,17,61,110,59,1057,330,304,604,147.0,104.0,727.0,1089,1035,1008,226,178,1007
418,381,886,335,271,1007,160,117,855,546,499,1011,552,498,1074,166,119,767,265,209,1152,721.0,646.0,1256.0,298,249,939,530,489,941
649,602,810,441,376,1083,31,38,78,544,495,1187,807,770,1008,261,186,1367,357,326,620,721.0,646.0,1256.0,144,122,645,695,646,677
281,227,941,762,731,907,277,273,749,20,10,28,413,369,926,220,181,729,2,3,11,686.0,619.0,1255.0,721,646,1256,159,149,419
131,82,739,541,485,912,616,559,939,452,386,1094,154,127,387,428,381,617,108,79,529,721.0,646.0,1256.0,544,510,764,881,849,749
498,463,795,236,177,1107,299,270,702,452,386,1094,497,456,893,297,248,1232,541,485,912,721.0,646.0,1256.0,146,111,829,530,489,941
156,129,1086,194,149,447,357,278,1428,153,104,458,138,115,1108,289,240,992,762,732,890,721.0,646.0,1256.0,544,495,1187,6,5,32
142,98,763,465,409,1051,327,274,675,350,291,717,490,457,695,582,545,596,58,58,33,147.0,104.0,727.0,721,646,1256,678,651,629
254,217,803,137,87,1030,625,578,858,213,195,763,437,395,874,142,98,763,7,8,10,721.0,646.0,1256.0,544,510,764,530,489,941
815,767,929,33,14,75,413,378,623,269,215,687,30,23,67,240,175,433,108,79,529,721.0,646.0,1256.0,129,88,677,439,412,584
703,664,927,4,2,67,147,104,727,506,486,468,619,616,576,131,107,346,170,144,604,721.0,646.0,1256.0,358,331,480,695,646,677
228,156,1068,333,273,1008,176,148,972,535,517,608,530,489,941,962,916,775,90,77,175,357.0,278.0,1428.0,25,18,100,160,136,629
18,16,59,315,281,794,650,588,951,629,586,949,881,848,765,143,124,720,251,193,1137,258.0,235.0,602.0,711,685,491,423,389,812
418,381,886,143,85,946,538,517,561,170,135,605,136,114,834,593,537,1033,61,43,543,300.0,260.0,772.0,25,18,100,30,23,67
592,536,1033,211,173,724,235,199,668,25,18,100,136,114,834,284,243,772,418,381,886,300.0,260.0,772.0,143,124,720,530,489,941
289,240,992,410,342,1009,254,217,803,151,108,766,437,395,874,405,318,978,304,251,739,616.0,559.0,939.0,25,18,100,393,343,1032
145,128,203,123,96,1115,324,294,674,72,45,82,425,402,413,25,18,100,305,280,80,356.0,346.0,266.0,176,160,412,467,425,742
22,12,95,330,303,620,29,23,43,25,18,100,280,248,623,107,77,549,123,96,1115,221.0,180.0,532.0,358,331,480,485,462,654
25,18,100,11,8,74,10,2,85,2,3,11,280,248,623,237,183,1011,127,114,499,650.0,588.0,951.0,413,390,602,359,336,411
226,167,1073,18,16,59,441,377,1067,347,322,894,701,659,829,100,46,100,405,369,666,686.0,619.0,1255.0,25,18,100,359,336,411
703,664,927,589,538,1112,794,760,727,444,403,795,701,659,829,25,18,100,456,415,668,441.0,377.0,1067.0,276,227,701,485,462,654
6,4,75,508,464,803,458,406,985,319,253,924,32,20,61,25,18,100,194,149,447,794.0,760.0,727.0,357,278,1428,381,336,842
6,4,75,11,8,74,222,198,494,75,38,75,6,5,32,281,227,941,433,396,842,414.0,398.0,942.0,25,18,100,32,20,61
281,227,941,374,332,968,555,489,1276,677,629,949,6,5,32,6,4,75,6,5,74,127.0,114.0,848.0,25,18,100,245,186,1224
505,470,720,5,12,38,639,596,902,18,15,19,81,38,387,158,138,934,265,209,1152,388.0,330.0,800.0,25,18,100,359,336,411
41,37,80,5,12,38,458,406,985,25,18,100,359,336,411,67,49,51,410,342,1009,441.0,377.0,1067.0,42,34,75,483,431,1013
67,49,51,410,342,1009,359,336,411,25,18,100,483,431,1013,45,36,17,225,188,685,365.0,310.0,969.0,368,335,771,364,310,1009
25,18,100,260,205,721,222,198,494,418,372,883,372,326,704,562,537,672,564,532,808,478.0,443.0,617.0,650,588,951,268,233,732
416,373,938,15,4,25,582,533,679,475,435,797,327,303,593,25,18,100,330,304,604,589.0,556.0,634.0,169,145,635,346,314,568
670,635,730,573,535,739,7,5,68,650,588,951,461,411,884,25,18,100,465,409,1051,300.0,260.0,772.0,68,51,543,23,23,0
178,179,656,166,96,542,97,82,763,34,21,30,21,18,75,670,635,730,573,535,739,251.0,193.0,1137.0,25,18,100,530,489,941
306,271,1055,541,485,912,131,107,346,458,406,985,0,5,0,298,242,929,1129,1094,684,320.0,253.0,940.0,298,249,939,469,430,906
