SERVER,BTOP_CHAMP_ID,BTOP_CHAMP_MAST,BTOP_WINS,BTOP_LOSSES,BTOP_LEAGUE_POINTS,BJGL_CHAMP_ID,BJGL_CHAMP_MAST,BJGL_WINS,BJGL_LOSSES,BJGL_LEAGUE_POINTS,BMID_CHAMP_ID,BMID_CHAMP_MAST,BMID_WINS,BMID_LOSSES,BMID_LEAGUE_POINTS,BBOT_CHAMP_ID,BBOT_CHAMP_MAST,BBOT_WINS,BBOT_LOSSES,BBOT_LEAGUE_POINTS,BSUP_CHAMP_ID,BSUP_CHAMP_MAST,BSUP_WINS,BSUP_LOSSES,BSUP_LEAGUE_POINTS,BBAN1,BBAN2,BBAN3,BBAN4,BBAN5,RTOP_CHAMP_ID,RTOP_CHAMP_MAST,RTOP_WINS,RTOP_LOSSES,RTOP_LEAGUE_POINTS,RJGL_CHAMP_ID,RJGL_CHAMP_MAST,RJGL_WINS,RJGL_LOSSES,RJGL_LEAGUE_POINTS,RMID_CHAMP_ID,RMID_CHAMP_MAST,RMID_WINS,RMID_LOSSES,RMID_LEAGUE_POINTS,RBOT_CHAMP_ID,RBOT_CHAMP_MAST,RBOT_WINS,RBOT_LOSSES,RBOT_LEAGUE_POINTS,RSUP_CHAMP_ID,RSUP_CHAMP_MAST,RSUP_WINS,RSUP_LOSSES,RSUP_LEAGUE_POINTS,RBAN1,RBAN2,RBAN3,RBAN4,RBAN5,FIRST_BLOOD,FIRST_DRAG,FIRST_HERALD,FIRST_TOWER,BFIRST_OBJ_COUNT,RFIRST_OBJ_COUNT,TOP_WLR_DIFF,JGL_WLR_DIFF,MID_WLR_DIFF,BOT_WLR_DIFF,SUP_WLR_DIFF,B_WLR,R_WLR,TEAM_WLR_DIFF,AVG_LANE_WLF_DIFF,TOP_MASTERY_DIFF,JGL_MASTERY_DIFF,MID_MASTERY_DIFF,BOT_MASTERY_DIFF,SUP_MASTERY_DIFF,AVG_LANE_MASTERY_DIFF,BSUM_TEAM_MASTERY,RSUM_TEAM_MASTERY,TEAM_MASTERY_DIFF,BSUM_LP,RSUM_LP,TEAM_LP_DIFF,WINNER
EUROPE WEST,17,1963663,6.0,4.0,75.0,80,43375,432.0,375.0,1111.0,59,12837,288.0,252.0,860.0,30,167315,274.0,238.0,752.0,22,12697,30.0,23.0,67.0,78,266,235,28,421,887,51247,352.0,307.0,957.0,104,169454,179.0,125.0,968.0,55,398463,508.0,464.0,803.0,221,62985,340.0,256.0,1462.0,412,521203,206.0,161.0,865.0,29,119,555,141,429,0,1,0,1,0,0,0.35342019543973935,-0.28,0.04802955665024622,-0.17686449579831942,0.024844720496894457,1.154708520179372,1.2071591774562072,-0.052450657276835067,-0.0061140046422878845,1912416,-126079,-385626,104330,-508506,199307.0,2199887,1203352,996535,2865.0,5055.0,-2190.0,1
EUROPE WEST,92,1340722,300.0,245.0,1164.0,72,14116,278.0,234.0,935.0,8,8260,158.0,115.0,947.0,157,3360885,650.0,588.0,951.0,12,34123,20.0,10.0,28.0,119,55,114,246,555,58,75309,401.0,353.0,1036.0,78,48145,432.0,375.0,1111.0,43,29284,508.0,464.0,803.0,15,418175,544.0,495.0,1187.0,32,26338,396.0,347.0,1009.0,429,555,119,166,200,1,1,1,1,0,0,0.08851245880788583,0.03603418803418812,0.27908545727136436,0.006452277880849344,0.8587896253602305,1.179530201342282,1.1214355948869223,0.058094606455359576,0.25377480147090364,1265413,-34029,-21024,2942710,7785,832171.0,4758106,597251,4160855,4025.0,5146.0,-1121.0,1
EUROPE WEST,150,81679,46.0,30.0,21.0,80,43375,432.0,375.0,1111.0,103,11234,465.0,409.0,1051.0,51,4237,452.0,386.0,1094.0,432,919414,177.0,106.0,1303.0,119,-1,78,350,429,59,30724,558.0,520.0,857.0,121,199532,178.0,150.0,1029.0,26,164941,760.0,647.0,1464.0,15,56909,347.0,275.0,1236.0,60,6696,359.0,336.0,411.0,163,119,111,107,777,1,0,0,0,0,0,0.4602564102564104,-0.034666666666666845,-0.03773292570940545,-0.09083372585963256,0.601358939802336,1.2036753445635529,1.142116182572614,0.061559161990938804,0.1796764063646083,50955,-156157,-153707,-52672,912718,120227.4,1059939,458802,601137,4580.0,4997.0,-417.0,0
EUROPE WEST,114,414647,582.0,545.0,596.0,30,17935,160.0,117.0,855.0,163,110189,826.0,793.0,829.0,81,29521,115.0,69.0,656.0,40,81892,154.0,127.0,387.0,107,200,121,15,147,2,1455731,277.0,245.0,621.0,141,123850,432.0,375.0,1111.0,268,20624,222.0,198.0,494.0,119,7462,16.0,8.0,62.0,111,217229,881.0,849.0,749.0,23,895,360,-1,350,1,1,0,0,0,0,-0.06272233664107851,0.21552136752136763,-0.07959799763078435,-0.33333333333333326,0.1749070235478516,1.1126589945487584,1.0913432835820895,0.021315710966668844,-0.017045055307195377,-1041084,-105915,89565,22059,-135337,-234142.4,654184,1824896,-1170712,3323.0,3037.0,286.0,1
EUROPE WEST,887,52344,304.0,275.0,654.0,104,418111,269.0,223.0,1044.0,127,160662,285.0,262.0,526.0,429,105344,42.0,34.0,75.0,555,294104,881.0,848.0,765.0,141,895,38,78,84,777,135357,593.0,537.0,1033.0,234,70981,432.0,375.0,1111.0,45,3501,115.0,69.0,656.0,202,55848,549.0,524.0,495.0,432,934355,30.0,27.0,1.0,203,29,38,119,157,1,1,1,1,0,0,0.0011714914508211827,0.05427802690582961,-0.578880407124682,0.1875841939829368,-0.07219601677148857,1.084652862362972,1.1220626631853785,-0.037409800822406414,-0.0816085423113166,-83013,347130,157161,49496,-640251,-33895.4,1030565,1200042,-169477,3064.0,3296.0,-232.0,1
EUROPE WEST,200,116578,356.0,312.0,462.0,102,37615,304.0,251.0,739.0,103,80254,413.0,373.0,998.0,81,13273,269.0,215.0,687.0,43,593462,328.0,282.0,924.0,887,35,421,245,350,164,18142,127.0,85.0,541.0,78,48145,432.0,375.0,1111.0,268,155756,217.0,189.0,1066.0,429,114810,314.0,295.0,697.0,888,33799,53.0,47.0,75.0,127,350,119,887,141,0,1,1,1,0,0,-0.3530920060331826,0.0591553784860559,-0.040909542250024744,0.1867560110366573,0.03546099290780136,1.165387299371947,1.153380423814329,0.012006875557617924,-0.022525833170538558,98436,-10530,-75502,-101537,559663,94106.0,841182,370652,470530,3810.0,3490.0,320.0,0
EUROPE WEST,516,47755,396.0,347.0,1009.0,234,25669,248.0,196.0,1130.0,163,32665,365.0,310.0,969.0,15,101318,91.0,64.0,740.0,37,613981,530.0,489.0,941.0,141,429,122,119,-1,223,1903132,253.0,213.0,696.0,121,231943,432.0,375.0,1111.0,112,60164,8.0,2.0,55.0,81,35388,357.0,278.0,1428.0,350,2956,362.0,313.0,898.0,91,114,221,888,429,0,1,0,0,0,0,-0.04658305259027751,0.11330612244897975,-2.82258064516129,0.1377023381294964,-0.07270493998967686,1.159317211948791,1.1955969517358171,-0.036279739787026255,-0.5381720354325535,-1855377,-206274,-27499,65930,611025,-282439.0,821388,2233583,-1412195,4789.0,4188.0,601.0,1
EUROPE WEST,69,176310,331.0,289.0,886.0,107,552392,5.0,9.0,61.0,245,7351185,799.0,788.0,521.0,236,664074,18.0,15.0,19.0,267,199510,273.0,262.0,667.0,888,119,200,41,84,17,1965607,6.0,4.0,75.0,78,48145,432.0,375.0,1111.0,13,136596,218.0,189.0,658.0,81,95524,146.0,111.0,829.0,350,2956,362.0,313.0,898.0,119,131,28,429,15,1,1,1,0,0,0,-0.3546712802768166,-0.5964444444444443,-0.13947976257620942,-0.11531531531531547,-0.1145647879423457,1.046221570066031,1.1733870967741935,-0.1271655267081626,-0.2640951181110263,-1789297,504247,7214589,568550,196554,1338928.6,8943471,2248828,6694643,2154.0,3571.0,-1417.0,1
EUROPE WEST,50,89243,166.0,119.0,767.0,131,45623,410.0,342.0,1009.0,80,43375,432.0,375.0,1111.0,236,664074,18.0,15.0,19.0,267,444586,220.0,184.0,815.0,107,517,111,119,200,777,19540,134.0,110.0,860.0,76,47378,5.0,9.0,61.0,711,71169,145.0,110.0,658.0,429,89585,20.0,1.0,57.0,89,36390,480.0,397.0,1457.0,78,119,200,887,163,1,1,0,1,0,0,0.17677616501145899,0.6432748538011697,-0.1661818181818182,-18.8,-0.013415836162523398,1.203864734299517,1.2503987240829346,-0.046533989783417606,-3.6319093271063423,69703,-1755,-27794,574489,408196,204567.8,1286901,264062,1022839,3721.0,3093.0,628.0,1
EUROPE WEST,8,491516,409.0,376.0,262.0,80,43375,432.0,375.0,1111.0,777,349744,625.0,578.0,858.0,15,11807,319.0,287.0,804.0,89,54473,452.0,413.0,527.0,23,78,200,28,119,19,117745,128.0,73.0,504.0,131,12632,148.0,108.0,682.0,166,14651,147.0,104.0,727.0,110,73219,12.0,10.0,100.0,40,81892,154.0,127.0,387.0,163,119,150,517,238,1,0,0,0,0,0,-0.6656587000874379,-0.21837037037037055,-0.33214665956880496,-0.08850174216027873,-0.11816743246077288,1.102513553474618,1.3957345971563981,-0.29322104368178015,-0.284568980929533,373771,30743,335093,-61412,-27419,130155.2,950915,300139,650776,3562.0,2400.0,1162.0,0
