BTOP_CHAMP_MAST,BJGL_CHAMP_MAST,BMID_CHAMP_MAST,BBOT_CHAMP_MAST,BSUP_CHAMP_MAST,RTOP_CHAMP_MAST,RJGL_CHAMP_MAST,RMID_CHAMP_MAST,RBOT_CHAMP_MAST,RSUP_CHAMP_MAST
8809,6112,2228525,6319,65416,70768,18171,41617,8252,10189
83477,8948,702936,42087,40156,2558167,944,50130,333919,47470
126705,103794,31860,53932,45645,79525,7399,1807,74012,38928
4730,10813,119952,119964,21013,127136,62853,9066,213353,43062
105155,3021,110726,245249,106247,245903,2558167,78665,54646,46154
42852,101330,132507,14136,82728,100414,10621,54212,120375,552
52463,39088,110726,11372,16202,1559495,21247,99816,63568,38928
2164114,470956,47852,14683,154719,19737,619784,12715,117750,40156
19737,32238,214287,170912,40156,36653,16415,10133,216902,13969
2660,3262,31355,55166,30596,35578,57809,25793,370735,82728
182680,57698,50130,37982,50911,138081,207448,36656,7870,73995
45892,57809,848,102910,10672,79525,16543,6950,370735,552
57560,453573,702936,4267,4885,47583,149326,362735,1589,36901
20300,382730,50130,358709,80853,1284,30605,71097,832405,95128
12814,27803,276261,4167,43960,2361094,2228525,193451,39111,28596
30818,40113,56674,29838,33423,9277,6541,112738,5377,16543
3617,39152,45069,20987,70854,133038,30469,2007,1135,2887530
226000,36862,36075,22284,17179,311557,18799,193451,265914,81560
162639,167074,61565,99272,110726,14910,68389,256143,241898,26424
100132,130291,61233,13881,12385,187348,112738,595,955983,11826
2305300,24029,112738,51507,32545,1457,1229,155012,164130,1383
23667,38277,50130,370326,9415,65572,688155,110726,265914,71591
185601,15333,52178,72818,261392,16131,50463,12608,8384,89585
2880,47852,987427,27039,42390,98780,1112017,256143,2029,12084
85862,688155,2679,16060,99816,15256,2952,66103,50299,17893
85862,619784,193451,16060,73995,36907,154,26371,181888,688155
17366,71482,23069,36129,11391,28124,8809,49564,35797,21901
41739,765,50130,26439,380262,17366,10843,223567,24120,221954
130744,12690,110726,91049,2921,27113,331689,50130,21731,221954
76166,2558167,15565,31143,3530,118504,27036,28009,91049,18833
1559362,586,87478,611869,2877,32239,2558167,25754,16099,18081
43142,8480,110726,67609,363696,99669,1684,20589,16325,94463
5022,20329,110726,54212,154719,63230,23530,82352,21258,55764
76675,95880,40419,3782,130678,224065,37870,26889,54869,6476
95372,32479,28378,832405,210985,199784,89125,136765,317881,1722042
5022,26671,28009,17649,36653,1000,48336,244335,17359,363696
22961,164109,139894,15781,551697,26074,453573,124337,358709,363696
44683,2161,11063,56872,48411,9755,38895,209937,51723,43771
5022,88960,470956,26070,36383,42356,15895,210331,234408,29006
76675,7933,68810,198712,126264,11235,401801,702936,104054,147518
76675,23334,66103,12041,46249,15553,66223,80178,49100,4120
27113,149485,385460,32087,61567,118504,39189,244335,98373,49832
7848,23986,100414,307139,188177,167298,181964,1638,158837,52158
7848,170,132507,29901,56155,130744,2496,23714,10328,69274
119970,46485,16430,90378,54646,209937,4802,565151,121683,12260
4362,1904,166138,7936,76747,25662,6208,51879,16145,17844
2053418,39311,139586,64655,104435,40907,425637,70281,114159,6266
83477,24808,110726,23933,20914,119722,331689,4253,123109,304589
4048,6049,987427,13255,6235,97454,43941,14174,67063,3530
9277,25481,46390,101385,32568,864,331689,99012,64578,5700
1559362,401801,31355,26757,170677,245903,425637,142111,12887,231018
11235,2228525,12275,48267,37111,16419,331689,155915,22359,3339
30671,91978,99816,22359,4583,6403,22882,24886,45527,30740
28031,19860,49508,128152,90353,2298512,166138,33972,83727,26136
99966,95880,214287,32270,6040,142121,9947,2587,7768,231018
140322,331689,254683,29626,12214,14116,33972,107759,13256,8670
3408,28220,136765,138578,258744,30671,43941,136727,35200,89430
1713163,23729,41804,91049,18833,84780,95880,82887,44800,11716
235102,635930,8489,91049,157150,40227,91978,18883,212830,28596
266103,95880,167829,45005,157150,56411,31818,22888,67609,24795
249875,31818,179984,16099,21295,787,382730,166138,25846,221954
140322,197608,179984,64055,104435,75566,331689,40419,8677,5469
14911,95880,27599,120509,469864,245903,94057,293846,41974,1559495
84050,13126,27619,93443,41668,53279,111379,2948,151797,27191
175119,52358,172875,3673,178825,2164114,2228525,12447,12292,31835
137910,49996,56799,3831,38146,118504,11879,31898,238191,27191
177237,11879,62460,317881,35177,140322,9955,124337,396635,202006
5159,25157,25513,33409,469024,311557,114879,103031,122374,5443
18799,134733,14800,122374,28568,58374,52457,49789,129540,97652
24219,257312,80688,63832,7012,14141,24347,46435,336884,35177
25950,21514,68886,41762,50481,85772,38277,19225,36738,78533
179069,394245,64785,19736,81481,12844,499768,36781,139345,209756
43385,425637,19225,68433,17774,309715,10117,25513,62398,209756
488022,425637,25513,46419,49216,14208,4897,202701,36387,160876
3097,18171,60720,26421,20113,73969,84050,51691,35052,13080
98,130291,31866,86324,24380,12383,2044,91480,225658,209756
113619,3032,65235,25899,209756,28959,55637,312530,15615,68513
311557,208662,3951,584218,394290,144964,202562,19105,34291,178825
25436,130291,219056,34291,189525,75566,8678,417498,379619,160876
114077,33536,49789,4211,18827,2053418,99340,5033,237,143069
2361094,7543,242533,590215,143069,2305300,71562,7573,326496,71417
855,198529,83606,47340,78225,851430,87525,56073,39354,178825
44295,9120,24757,47340,76225,105336,701,72812,77368,178825
72072,53919,252298,115857,54613,8582,13281,34418,51507,8125
56728,16098,49508,164828,36383,362735,6669,53775,7284,19773
233088,2228,11655,45182,97533,81034,566637,58476,4437,103554
1033,216779,529558,6730,229182,174625,2823,82712,2665,29117
730217,2895,43049,219286,17052,670,30327,35296,525540,6750
426629,26336,539829,299506,103554,33440,2308,835461,11746,27442
8310,53062,661863,59026,54613,33440,9981,72629,8677,44210
348561,401801,242311,7237,52334,2890,10278,987427,24447,103554
13618,97335,15360,3054,51723,36907,34052,139586,61232,5929
41089,7214,36656,1644,225138,73969,9947,126808,17359,277461
22826,5162,15614,2791,17545,20300,140457,12717,35198,7669
226000,257312,214287,30150,31908,99083,54241,245124,7477,57070
9495,181964,214054,1573,91815,27573,780,111137,126804,31908
9495,8402,529558,9588,5283,13603,453573,158832,16695,31908
702936,3408,111137,3130,217892,64967,11844,40419,18261,58965
311557,453573,393443,45527,154719,33792,195392,1007128,54869,7375
199381,55637,36075,16060,213411,224065,250380,50808,141498,25318
249803,453573,3408,29838,33423,16345,186553,22350,19248,3031
22350,36294,34527,101,49832,96902,250380,987427,317881,380262
140322,453573,236766,63568,93395,29646,24959,166138,6330,33761
223,224947,53775,90532,46362,30881,54241,236099,118348,205786
2609,53919,1599,30737,38735,261362,7151,143956,291902,20914
2508,19955,43482,4882,128169,49877,2710,1599,26649,128022
60641,11411,174110,19618,72406,453022,76831,10804,138578,26838
10541,26821,81034,35198,310697,821404,15376,82712,138578,6920
41739,51319,46343,625752,121512,949898,42267,6492,138578,14292
41739,30605,255856,14683,121512,63129,7621,704696,358709,1007128
2565,52853,16032,81728,32568,348561,42889,155012,2151,310697
172796,2538,124195,35198,105317,169938,58944,67744,11380,11446
362735,167755,118352,4259,23974,2847132,8959,2194403,24530,7868
18081,186553,82352,64580,310697,57634,11675,61233,9403,5685
79278,866,114879,102386,13775,453022,8899,37081,1856,380262
15912,73967,53775,120509,13053,453022,114879,36137,126551,31214
1011407,113312,569835,216902,121512,85862,36518,242311,41224,407255
4772,11262,226257,32270,19786,5378,8121,54804,18118,104344
40062,117142,52426,17649,104344,453022,10073,17738,14113,55241
57634,203065,12265,7801,23613,130744,21885,36998,101326,7868
32659,36270,82712,9292,43771,448643,1650,145183,418714,9536
17945,3444,34527,222306,32545,63230,662501,987427,7477,52850
15402,7935,205939,81782,17128,40338,9911,18856,6430,3353
15237,207448,10917,207717,38964,30881,13046,56799,64452,447218
154032,58944,52178,64677,5685,265082,34654,139586,222306,27704
488844,89917,139586,222306,28596,7307,1290,18433,133383,225138
7307,16312,28009,222306,41496,1254321,11196,52169,42315,8295
28165,19860,2228525,1685,31908,60391,30750,80271,222306,27704
43728,32238,1310,54869,5414,23071,23345,51691,37982,71037
14911,181964,43781,453402,46116,47583,123524,26020,60969,375723
49984,13614,9490,222306,28300,47341,146155,987427,45182,48411
86804,19120,19105,15781,6628,203949,13271,40419,37982,74741
309624,19860,56799,6985,168640,40804,49996,21670,81782,4482
175245,1306,9102,59353,32207,17971,71478,1385673,98817,28556
16419,231091,140491,43796,25112,40338,11748,52178,9273,106956
679042,38277,27619,12795,51735,82418,1369,495734,26339,108781
48539,19860,143421,2518,21815,177237,39311,276261,32246,22467
56728,39687,236099,119873,32246,56680,207448,126756,33040,447218
348561,50463,143421,41878,229,30020,6345,205111,32246,7509
133038,318356,17255,32246,15372,43728,47056,193451,59877,157150
17286,2825,54804,32246,134932,72072,94567,1286,120509,20895
13197,2558167,56799,57070,16367,63230,207448,702936,32246,19029
6919,29810,3066,317881,2169,169953,11000,10787,5055,98817
63230,99815,470956,102386,2174,88831,1693,85709,33033,1501
22792,54370,1094,43796,86966,19737,18875,26371,213353,49709
45892,2826,132507,65285,551697,154032,72486,1338287,15856,36014
40036,199694,13405,50832,98817,38684,8483,565151,36023,26216
47787,470956,682059,40111,28556,41788,226042,121882,130500,30146
361868,6545,267733,130500,71987,17579,2840,205111,121649,4673
2776,2228525,5123,49100,9027,56411,196984,193451,43796,13975
37022,3738,198255,27764,200365,65057,53890,309407,219951,8424
43885,697150,28259,76927,28006,26268,37022,417498,98817,22398
393192,49418,24436,32246,13326,92114,10398,191658,54869,104435
281501,231091,25627,46433,120386,74883,25678,12608,93443,51723
224065,42267,9949,8011,24292,149076,1114,29859,8677,154719
41723,40202,661863,164828,40560,140322,33682,43188,19109,467791
41788,95880,68289,3488,5659,1559495,1523,77115,117586,2028
1011407,27843,194810,1108,45242,16345,17234,28009,9588,26844
1254321,34662,178788,15781,16202,265424,7699,36296,1139,9333
110366,23245,56107,15630,42660,56411,2786,49789,52007,154719
730217,298,155915,120509,71987,1346863,10640,43188,15679,1138282
2401,31818,168801,374521,78081,22792,26232,46433,141057,157883
30818,52853,103921,54646,38097,41623,207448,43188,84642,63890
129972,94057,22984,64055,56155,309715,57640,43188,74012,211791
24373,155127,15526,1878,118322,99966,2228525,242533,37912,42655
226000,7160,495734,405949,26216,99966,202788,46433,8197,39481
132953,2558167,46433,23496,43562,2361094,70226,112094,312411,15544
169953,16415,46433,12479,4209,2164114,188155,3726,951405,26844
73969,33682,27619,134,276261,32644,2558167,46433,6593,95535
60206,84050,35296,86751,32285,48150,38180,43188,102386,15890
63230,191414,565151,317881,1082,2792,111379,25979,9588,8224
83605,28220,360807,15781,15372,89648,13528,78665,16695,3968
20835,21429,226257,13628,17560,154,16098,78665,1163,13200
75566,33972,214287,1021,1304927,2164114,224947,66103,19104,3993
166070,37444,329441,954285,47285,448643,34052,1401198,7477,551697
53347,9470,47341,120509,2992,117548,401801,485303,14113,28931
127975,2895,214287,126663,76716,17168,88960,83410,318608,62556
1346863,5903,214287,314571,25626,2401,287721,32940,213353,16294
4730,12151,242533,25846,24795,1559495,10205,329441,48267,79875
15610,165,35455,27313,5541,108925,2068,8964,57344,49871
2565,63113,77692,16285,44967,8974,9998,214287,32036,5855
1559362,25678,23714,106326,29168,1083,267883,41804,53932,32626
85862,9273,329441,117586,47172,1304927,37355,80688,15781,14430
15600,8183,46343,229989,44118,49003,202788,112094,5640,42375
9495,12543,393443,13590,3874,275028,6280,50130,143840,217892
62545,619784,22350,120509,71987,169953,39821,102228,15199,58372
8724,12810,53775,7682,17844,114852,212296,11529,1871,104435
203949,6919,623897,48986,22785,1713163,16869,41861,16060,6111
25738,36616,50479,38659,221954,16869,1367,112094,13255,77003
127673,116020,276261,8442,129,178916,65381,565151,66155,91815
72072,59539,2164114,317881,80983,488844,26892,276261,22284,427819
2164114,25678,15360,75495,30870,94509,10255,360807,14886,75068
162639,133395,45749,123090,7760,120959,10255,94463,51507,19490
40338,105681,51879,133792,25354,49003,18662,27619,54646,71481
9760,7583,3355,3516,108352,193562,10255,17209,120375,162836
2298512,146942,3111,23257,30146,40027,34577,987427,24865,62675
134698,212296,15614,12887,71987,57629,84050,31776,166575,76210
63230,77527,242533,24795,23331,1011407,12307,565151,151797,50484
1713163,11066,529558,1176,39879,31905,212296,249803,358709,14653
12194,18187,166138,13439,13975,8489,38895,132569,17308,221954
348561,7409,35552,2163,1138282,111900,10267,242311,8341,77003
1713163,301500,565151,6593,159017,12194,11748,205939,13803,32285
1713163,18960,182844,358709,33599,8018,4201,119952,126394,93866
78300,147689,32040,61783,30870,1713163,57809,242311,14113,17669
1713163,57809,242311,150767,154719,21270,147689,32040,2444,102825
348561,920891,495734,75495,394290,15579,18960,51727,40111,219286
1713163,202788,158832,50044,100068,7221,34052,529558,13046,182881
1559362,1121,58663,625752,70384,63230,25283,40620,71948,551697
41739,207448,74077,3482,46154,1713163,11924,1559495,1446,231214
1346863,3715,1338287,11463,23084,1713163,22776,63329,12791,77340
160912,1713163,240036,16480,38372,4605,59616,264649,16489,25335
1713163,11748,28009,34647,1892,5728,2558167,276261,91049,32626
131541,5877,41804,212830,32285,99083,10417,30794,72629,551697
19737,510899,41804,30150,42619,98780,15140,20767,99272,551697
2164114,30485,2656,54456,393443,9324,25431,203466,14113,37814
49877,38277,282486,87859,14512,3709,135746,87305,292381,20583
7912,164109,1401198,45182,43771,4680,190368,242311,213353,46154
833451,29676,277368,4594,160814,52740,30186,80218,126663,18349
79434,3444,242311,22315,66869,19737,66103,45749,59877,211791
19737,125018,1401198,198712,11500,14880,44908,85709,317881,288488
195392,287721,242311,4113,479936,40338,16728,31166,39481,49709
311557,51492,74077,45903,5110,110366,11238,101222,235981,12747
68833,4802,121882,8677,5709,12052,111406,72337,38379,154719
53468,57809,2228525,44821,70287,24219,19860,2164114,270058,4489
492022,10278,242311,89679,97111,16345,38277,66103,67609,19029
173753,91095,241517,11372,30870,32711,40338,2843,25944,48752
851430,53183,62796,333919,22777,140322,61831,13405,30150,45197
3031,21511,46343,120598,69295,311557,35840,6492,53932,1827
949898,20408,20131,2868,2053418,235664,378,35853,14105,31348
2442,9470,11858,63478,118322,949898,36270,1401198,50299,49326
179984,22197,40602,11372,47285,178916,207448,99816,34523,30740
43728,3870,11858,1405,147518,4326,688155,36075,37374,6919
72730,23345,1559495,54646,31348,15912,2228525,42714,118348,12747
206181,382730,73570,40111,31348,56728,6618,226257,212830,26922
185601,92128,22212,584218,170677,134776,89942,84429,366,31494
79434,56799,3155,358709,49326,317954,16030,1007128,8436,41668
102569,111406,19406,38051,33599,63129,44908,63329,14089,467791
72072,2301,12608,25078,30740,19737,9981,94463,17308,221954
36800,2952,14485,34523,21095,9157,53737,23714,54646,26469
96056,15174,679301,26649,170389,74883,17773,153098,197014,341028
7582,111821,47852,13114,176482,74883,2118,46812,1140,6337
7258,10823,5800,7086,104435,159346,10935,1304927,358709,97111
90723,515153,95382,55166,341028,63419,36518,3869,73316,58856
530785,145208,362735,20099,44716,74883,453402,31743,7075,11826
51425,23403,1198113,34222,158695,2452,15206,2057,8093,13204
97619,30299,110726,24120,320761,74883,172715,25532,5443,239152
51425,84341,47852,17434,90353,10511,1112017,312530,51723,28394
51425,2011,47852,17434,44529,311557,130517,2083,4969,90353
74883,140576,835461,11380,44529,48364,82744,11025,42087,77312
74883,22018,49508,104054,18044,1182525,179642,37247,16250,8281
4259,88630,40055,44412,5825,74883,66963,185270,4897,126542
58794,168,54212,46831,104344,41788,1122853,21551,107207,154719
74883,309407,227316,5042,36286,45501,505450,21492,17434,39152
74883,1732099,143567,11516,43784,104128,586347,118783,10344,147390
820,40113,385460,213353,108781,74883,19003,80178,43335,1940
74883,31676,271304,14294,147390,15898,35002,15402,18539,32769
96902,95926,23069,7768,182881,193105,52457,415247,45242,10491
265082,739907,96281,24163,3031,96902,19955,102977,26927,20517
