BTOP_CHAMP_MAST,BJGL_CHAMP_MAST,BMID_CHAMP_MAST,BBOT_CHAMP_MAST,BSUP_CHAMP_MAST,RTOP_CHAMP_MAST,RJGL_CHAMP_MAST,RMID_CHAMP_MAST,RBOT_CHAMP_MAST,RSUP_CHAMP_MAST
187603,152814,1074313,6480,37968,253053,152110,287054,283180,17541
17724,28648,35041,125886,148201,407535,192962,23081,6480,6377
236003,3864336,13698,644438,464085,723877,64901,565123,4236372,1796746
192682,177679,481950,6480,17221,29814,41625,32003,9394,234711
44784,720693,79558,464085,87376,1978756,291551,189295,55675,71522
7474,19694,54352,7267,6480,64344,7657,82904,20652,836199
1554550,6866,74557,4665,164745,86796,126190,1173377,6480,1821627
202815,372648,349908,64749,464085,228657,301834,107968,103483,1956
33583,12158,18484,121930,6377,573749,5620,97219,48067,464085
31809,193842,18939,77212,34578,12375,67655,4120,71890,1741
8719,11593,964182,15628,21605,787616,11548,342391,250151,59065
97986,163806,122899,112559,209448,463587,850809,232793,260806,464085
16432,46393,1790373,314,447313,1071010,16198,67244,999955,464085
376387,2531532,9233,11801,464085,3752,13894,399168,397,21353
56188,497759,23340,519744,12582,494168,44391,9920,7988,464085
58329,152955,7562,155973,464085,81774,198921,283459,8081,1790951
3323932,163285,247628,644438,11227,205712,1395,1399,489012,337690
177494,5789,1132191,12684,142703,6244,47943,3323932,4218,1848621
1003564,8881,160795,22483,32735,331107,2882,116424,286845,178133
494168,121446,1132191,248390,241016,858,55253,8155,6229,202060
2079,20091,86715,81075,2746,6221,35943,1166,26040,133866
10598,163285,31497,122017,35301,271679,329012,52862,100168,103934
28228,20091,259712,7501,1848621,2326809,20443,572507,51544,9704
3374,198948,7562,12295,13537,392230,24698,15554,677247,1848621
515064,77096,102164,47978,6938,30799,47943,31674,435936,239
188213,3151,24545,116684,1859,100652,226,103054,145425,63980
274535,29219,73509,2626,98865,959680,55253,66642,81352,58198
100595,55253,66642,25266,77765,33309,301834,29020,1086,156237
3745202,98178,489012,138677,7208,515064,16011,149817,149229,665486
83566,163285,136355,22535,15398,129226,86801,255594,5230,152149
83566,24120,3446771,166582,1950,27248,40586,21810,68245,58198
368354,3446771,793672,166582,1019,399610,163285,2332443,22581,4720
28228,4533,122183,72924,665486,321523,24698,22461,807494,79042
133014,17011,44811,5323,17745,28282,20091,108864,104289,66849
1425264,24912,34696,70294,18381,515064,154679,120453,219378,71442
6433,1121660,23746,6475,103529,723877,68926,58795,102222,21221
120267,254289,1188436,573749,278265,494168,6813,1105472,94330,7811
87227,364639,24545,13565,15344,964182,3278,247051,3128,65340
53489,6813,6626,194938,49683,69061,73079,86015,2373,27172
230585,229296,27761,105338,74117,33864,6813,8741,10134,1072835
53489,10853,10950,4473,121119,414736,4032875,259712,18153,66431
640538,4032875,61928,7046,264552,24877,46624,210263,126917,144442
330766,14420,14719,12124,155775,59342,463868,23214,54742,7208
1263582,128893,24545,373871,58198,172122,12987,16554,145425,60717
59342,50184,69471,286845,58198,21882,12987,185632,4862,168612
14758,41833,18338,6009,17518,330766,364639,2107,40669,19762
1603106,4241,6072,19124,169618,1843851,41828,28298,21181,149324
84460,572507,3087351,370515,95032,66078,414412,787616,15078,1072835
26318,163285,11626,715,41531,15600,99415,165237,24960,37574
8103,539504,228657,24239,35906,23778,99415,542007,43212,241016
3049,236032,18794,2284,715655,24034,16626,9385,39802,1848621
9951,629110,22126,108643,715655,35147,99415,28258,2284,1848621
447339,572507,2806,56583,14376,1029473,71476,59103,73746,66718
1173664,471279,629110,10449,49683,7272,99415,3193,12498,1515
376387,15769,1471869,18444,32542,891432,99415,6626,41478,73903
723877,414412,317583,23748,52430,18033,353375,27248,773218,3701
7277,12710,52194,8605,33735,59407,1546098,930643,230243,15718
593010,1177940,689380,618,2012,330766,493925,930643,247628,24652
30001,220488,705656,248463,66316,185303,2638088,552344,77967,48787
1666691,17073,49278,1342684,41353,38767,36651,68181,675492,22379
515064,21485,705656,641729,16562,5697,9628,101726,945,3004
26318,23736,2284,3023,65575,494168,146069,705656,2361,15266
254078,3843,22026,169617,3096,149214,78446,481950,172817,26350
46523,129060,94905,63597,527607,12783,81691,705656,178789,5739
