BTOP_WINS,BTOP_LOSSES,BTOP_LEAGUE_POINTS,BJGL_WINS,BJGL_LOSSES,BJGL_LEAGUE_POINTS,BMID_WINS,BMID_LOSSES,BMID_LEAGUE_POINTS,BBOT_WINS,BBOT_LOSSES,BBOT_LEAGUE_POINTS,BSUP_WINS,BSUP_LOSSES,BSUP_LEAGUE_POINTS,RTOP_WINS,RTOP_LOSSES,RTOP_LEAGUE_POINTS,RJGL_WINS,RJGL_LOSSES,RJGL_LEAGUE_POINTS,RMID_WINS,RMID_LOSSES,RMID_LEAGUE_POINTS,RBOT_WINS,RBOT_LOSSES,RBOT_LEAGUE_POINTS,RSUP_WINS,RSUP_LOSSES,RSUP_LEAGUE_POINTS
108.0,86.0,241.0,67.0,59.0,468.0,5.0,7.0,93.0,843.0,809.0,618.0,22.0,13.0,20.0,521.0,505.0,421.0,490.0,465.0,426.0,23.0,18.0,100.0,304.0,280.0,353.0,637.0,605.0,649.0
6.0,5.0,24.0,242.0,219.0,682.0,86.0,61.0,542.0,316.0,288.0,713.0,9.0,3.0,63.0,106.0,65.0,825.0,122.0,95.0,619.0,12.0,3.0,14.0,843.0,809.0,618.0,419.0,383.0,701.0
8.0,8.0,91.0,119.0,100.0,402.0,73.0,58.0,315.0,843.0,809.0,618.0,396.0,371.0,669.0,335.0,305.0,656.0,511.0,481.0,752.0,676.0,650.0,616.0,14.0,16.0,4.0,19.0,16.0,24.0
335.0,305.0,656.0,292.0,266.0,616.0,40.0,39.0,51.0,165.0,122.0,308.0,19.0,16.0,24.0,188.0,171.0,364.0,204.0,186.0,439.0,43.0,27.0,113.0,843.0,809.0,618.0,432.0,399.0,481.0
57.0,48.0,5.0,533.0,510.0,351.0,140.0,107.0,172.0,843.0,809.0,618.0,189.0,160.0,622.0,297.0,266.0,644.0,155.0,126.0,290.0,219.0,207.0,530.0,267.0,242.0,40.0,419.0,383.0,701.0
15.0,8.0,61.0,372.0,330.0,855.0,233.0,187.0,996.0,598.0,574.0,616.0,328.0,299.0,649.0,498.0,459.0,737.0,330.0,306.0,669.0,370.0,340.0,632.0,843.0,809.0,618.0,151.0,127.0,818.0
37.0,21.0,54.0,11.0,17.0,50.0,424.0,381.0,755.0,843.0,809.0,618.0,229.0,190.0,652.0,169.0,141.0,581.0,155.0,139.0,535.0,13.0,11.0,100.0,83.0,72.0,287.0,54.0,28.0,66.0
169.0,141.0,581.0,489.0,455.0,814.0,184.0,150.0,751.0,843.0,809.0,618.0,168.0,151.0,393.0,514.0,469.0,470.0,169.0,114.0,568.0,624.0,608.0,477.0,262.0,239.0,751.0,155.0,139.0,535.0
386.0,336.0,727.0,424.0,381.0,755.0,76.0,70.0,621.0,14.0,9.0,92.0,326.0,311.0,761.0,7.0,5.0,77.0,158.0,132.0,633.0,161.0,112.0,1189.0,843.0,809.0,618.0,60.0,49.0,55.0
563.0,543.0,429.0,154.0,125.0,469.0,44.0,51.0,94.0,637.0,586.0,438.0,137.0,125.0,454.0,18.0,6.0,21.0,110.0,96.0,245.0,941.0,925.0,312.0,843.0,809.0,618.0,166.0,131.0,476.0
