SERVER,MATCH_ID,BSUM1_ID,BTOP_CHAMP_ID,BSUM2_ID,BJGL_CHAMP_ID,BSUM3_ID,BMID_CHAMP_ID,BSUM4_ID,BBOT_CHAMP_ID,BSUM5_ID,BSUP_CHAMP_ID,BBAN1,BBAN2,BBAN3,BBAN4,BBAN5,RSUM1_ID,RTOP_CHAMP_ID,RSUM2_ID,RJGL_CHAMP_ID,RSUM3_ID,RMID_CHAMP_ID,RSUM4_ID,RBOT_CHAMP_ID,RSUM5_ID,RSUP_CHAMP_ID,RBAN1,RBAN2,RBAN3,RBAN4,RBAN5,FIRST_BLOOD,BCHAMP_KILLS,RCHAMP_KILLS,FIRST_DRAG,BDRAG_KILLS,RDRAG_KILLS,FIRST_HERALD,BHERALD_KILLS,RHERALD_KILLS,FIRST_TOWER,BTOWER_KILLS,RTOWER_KILLS,FIRST_BARON,BBARON_KILLS,RBARON_KILLS,FIRST_INHIB,BINHIB_KILLS,RINHIB_KILLS,WINNER
KOREA,KR_6060960487,MJFBGyMPyeLlZerWHitdHUrEBWvr95TaQ2XvzPO85wbvX8g,887,TAwON5d2CVH7-8IGb5WVOTGWahBzh8BLXHwg_S-JoYVYdZU,80,jKmjG4-or-czGmM3fJk4XqwH7ejgIMbFFf-jZHNOt1qrnAU,13,AB8EyVl7cK1rGMrY9cTuADCGmt0JrHeSXs7AvoD88DUETd8,236,4k8yFgb1e-uPWqMPKbNCnPIlnj9CmYjJNAWDYwVYZAUyfxc,267,888,36,-1,-1,350,9UhgQoFR5eYN-uAAriQbnwwNvCfsK7iLmesKHt0tzN8jsZ2mDKKTOcEerA,517,58rNZ1VXjCRUbYTyCf5XtT1flGedIjDGeoBJULNh2UbTuAM,254,aWidBVCzTkjdeRk-Am68IhSgtOFms3Lg3zIV1OEcpF2fDnb8psa6paaifA,50,T9cTTfK038tIME3U2xPWTaO4Vl20PhEfKnp9JQSobN8OCrk,15,vJhnv_vsIR9RcY4FaGbYTBs7moSylvPallVW8cZQ7H661EkboMioAu4GvA,22,-1,429,111,163,7,RED,15,34,RED,0,2,BLUE,1,1,BLUE,1,9,RED,0,1,RED,0,1,RED
KOREA,KR_6060885306,cGKmw921iaCwcS-SoM1_Rn_IjDciJPq61ZmoHGz3lrqjXmuZ,887,C0b6n7LHmdqBvGDIPuYc8rUVU2BF9bVbltHc_DLFHagI9xXX1zRG7w7HWw,62,ae8daAzbfk-chYHp6XFHXokdAI3ISwVWDTv82tzhuNKgEws,13,AB8EyVl7cK1rGMrY9cTuADCGmt0JrHeSXs7AvoD88DUETd8,429,4k8yFgb1e-uPWqMPKbNCnPIlnj9CmYjJNAWDYwVYZAUyfxc,888,163,-1,350,238,119,UY2yKmnvDtj3yvexvo_KwCpIOnPNSyK3k3BQ0lXWaYcVsjmeaJv3nQEXhA,36,GV4FWa8rTwsYhKPOhkSHq26fOuHzoyUXEl8JZ1e7pXEwvv8,80,aWidBVCzTkjdeRk-Am68IhSgtOFms3Lg3zIV1OEcpF2fDnb8psa6paaifA,517,7PfWUQATLTjg9Tcq_SPfsN2_Ug8zTEvD4Z5vSsvJ7c5685Z0XiIZjVbgcg,221,bi1v76Bv4KAywuUPoVgr12ECwmh5Mk3pxLQIbz8EY1-Z4WFuGolESlW66w,79,119,895,7,114,35,RED,23,17,BLUE,2,1,RED,1,1,BLUE,7,2,BLUE,1,0,BLUE,1,0,BLUE
KOREA,KR_6060920069,VQ8fuFIHzyEykyBzHAPVFBOkI_OruafxNeGRIX_0rWCVtwc,58,W3EpotUunE7m7CWAFo7-v657wgCtMg77N7cqj9fYnck5ydikpW0iyo3WvA,30,orfEYogY8Ki5oFTH9b938vZFTGuFrvqonTPjuKssd1YbW5s,238,MDqGtPmXx3f2LMeKFTuWuI53bD4usXQCxyua869BLnh8WxZGcqdGHXDKyA,119,sagYqipZBJ5neU3czDDJ0Nce6yygJU3jQCsH2s7N1O46F6s,875,429,163,80,895,157,BqGHiWbWHzSYofjRkwk_E9PF9p5rwUpy7VGeoQYMblgALd1PDoIjqo1j6g,8,AAx0dddLvFMa3dAQhor-rQQzp199r8asK9E1U_BxLnCb5JU,76,Uo7ksTd3rLgumhAksDlB7YdL1gYmMZmZ_Q1Ox0K_XZdilHs,777,CbGZr8alji-6EHrUjgHXcsqr6cqVMT00al1DoTGY4DddS-s-rAAj076tRQ,203,4k8yFgb1e-uPWqMPKbNCnPIlnj9CmYjJNAWDYwVYZAUyfxc,111,350,78,555,268,68,RED,21,32,RED,0,2,BLUE,1,1,BLUE,3,4,RED,0,1,NONE,0,0,RED
KOREA,KR_6060745562,6a6hDTpUjLAjRuuEJ79MCHsCVm_qHivYD4L1c6aMr266YO7W0SQueLew8Q,516,aZEpVhF7CCDldi9Vl2eUrvQCRIQZbpGjO3Yl0Sz3u0a8ea0,245,0NcNkChIAYny5ml1-6BihFGi4m4jhbFW4CHE1a7uSKxzF8w,555,u--dkxxHzOhoiOUJ2PkkWM_bsv1-CyXcYruLG0rX5vOGA1M,15,4k8yFgb1e-uPWqMPKbNCnPIlnj9CmYjJNAWDYwVYZAUyfxc,117,350,711,-1,107,7,5X-ipYnYeOsV35PrfATXHuptONrEu07KxHPmsxkl1RDTemvnNy1ao8yl3w,266,CbGZr8alji-6EHrUjgHXcsqr6cqVMT00al1DoTGY4DddS-s-rAAj076tRQ,30,h-aLPcfX2jvj8zRH4gFOwJG2zSmDIq13rWUzDoBeVya-YsFrTaeLik_trA,91,C8JeB0UVt7XBWdBC1EsTOMUecwXQ7M2s3aT8BiB6GCyoE4E,221,fySksmBrOJPpG30pl8mo5NKu26LUjW25oGtriXwcx3HySAoD6aNkQQSNIQ,43,78,163,133,119,429,RED,38,15,BLUE,2,1,RED,1,1,RED,10,1,BLUE,1,0,BLUE,2,0,BLUE
KOREA,KR_6060707458,CNoef5MzxwQK0Ykvi3pmZ1Ly3CqR4MJYRR8uZeS9B9ePZ3A,24,pFKMcY9e8lNe-Hl8x1iJiSobE0hLubxeqSo5GDKYTuodMGc,72,LThHb84Jl3pmtodBlTuIBnT-4F8J5V1R6zBKZklA366LOuM,103,2YpAAKTsttlV3ru-r7wEy7W07VEWLkzzsnE5n0_ovuUzogo,111,4k8yFgb1e-uPWqMPKbNCnPIlnj9CmYjJNAWDYwVYZAUyfxc,15,895,429,79,-1,-1,IOnsawIcAB45kza5SSjxRrzRB_yCME3mpDzfi3I3z7gkzYw,59,8K1yx07pCws-gzQxIzqyuoyVtEGbaUk35YQDtbEyoFgIA2Y,78,aWidBVCzTkjdeRk-Am68IhSgtOFms3Lg3zIV1OEcpF2fDnb8psa6paaifA,163,ijqne_joWPyZJiu34CqH57k65ajHGszH1G9EANhi1QBg2R8,523,oFI5kgNLhzRsSzauQaNmS5dzm0uU0lmjCXvvkF56TjOwLCQ,98,429,7,-1,119,268,RED,22,8,RED,1,1,RED,1,1,BLUE,4,1,NONE,0,0,NONE,0,0,BLUE
KOREA,KR_6057844675,sbDHeqqUvLDhNA3yYnS3t93fG4d9doqldZjOkb3rwrybN_HaFAGyIp0H1w,59,3PV_W4RY09TzgEQfBZNdSlsHFwxjwbjzIwXsawLuoSVYyptv5oP34fbJJA,60,C8JeB0UVt7XBWdBC1EsTOMUecwXQ7M2s3aT8BiB6GCyoE4E,777,agy7tVJmthI4QFrgcC_GjBbhdd0juuBeCIIRwH-sS0AM1ek,157,4k8yFgb1e-uPWqMPKbNCnPIlnj9CmYjJNAWDYwVYZAUyfxc,254,887,91,163,-1,895,igWJ9PgkZ2Q7hcj35eZtdR3JWhjmhv2_UixQS0kkpCoUlPkJt5mtksAYRg,79,BjYUi1tyVDyqhBTTTSWy-UEI7fJCPY-qT7hCRXjbbuzDZtw,234,cTfhhY3u5vrB4LTFhUaJgVggwi1IKy14mnQRaL4lYT-SBQ,58,kThzELMCYW_yDlkKUnKuWceuCZ1sO4BfDeGbODBg5wB7Dk2X_MshZxgI9w,221,lcjVcmKjgpAc3GRLY701X_mDF9Cj-yJuc-8plhIhNfIo2qNp,350,236,-1,15,429,-1,RED,10,38,RED,1,1,RED,1,1,RED,1,10,RED,0,1,RED,0,1,RED
KOREA,KR_6055761964,aFwzyFYDcqUvZje-bKywj8NPVlMxGj-MfCahYynTXvYVysQ,79,MMXkzt1vr0p3dCTUKb2OC2f0PZsVREqXSMGJYc3EX0cRv-WGXPJ9otMY5g,59,eRjeDGCqy7WO7P_xd1M5RuOmlPeFl_gJH03Kik_KdF84xTrz6YhTeAN1Yg,105,NkZ4x09h94WkFBZ6JroI5lkcrKs-2zELE2Zb0CTzRcB5l35TFWhP216RcA,221,4k8yFgb1e-uPWqMPKbNCnPIlnj9CmYjJNAWDYwVYZAUyfxc,555,68,119,350,120,7,i6T88UscEC31ZDny1Gd6VSyQsvXJmmJeXbeIDlGb7CRWwhY,150,1bQey-YWynA5OaXzTOfJ5wFv3RwRDYPvWr7xQHUO9CvnsD8ehj4tteUlBg,48,8rgBz6kCYE2QNWFFxCzRC2K_Kc4bnA_SOrdID5tXKO8TbbXlsL-BmlafgQ,81,5hhNOkFuHeCkmmgpvMQYL4oPg3z56bYA90HlP1dShA57jCw,497,qYv7jpEcx9JYAzgh_jXPpMOLMrCmCsfSIYnNAmyQIT4ia8VIVihcC1ROXQ,103,888,76,-1,429,268,RED,39,27,BLUE,2,1,BLUE,2,0,BLUE,10,3,BLUE,2,0,BLUE,3,0,BLUE
KOREA,KR_6055760607,z9WNO0liaXo6EbrXfhlIbJnAShc-PkfX-_N5IghGqIScJ6k,54,sbDHeqqUvLDhNA3yYnS3t93fG4d9doqldZjOkb3rwrybN_HaFAGyIp0H1w,78,jsLn-j7pX-VajGXxY03dzRyRU4puN1UGSUijnl2DUDWgSOU,268,5Fqo-Q902sF4j3DtsORPEPX8ylU8GWA2cd0jn_SxmtFydzY,429,4k8yFgb1e-uPWqMPKbNCnPIlnj9CmYjJNAWDYwVYZAUyfxc,32,-1,887,119,246,517,aFwzyFYDcqUvZje-bKywj8NPVlMxGj-MfCahYynTXvYVysQ,41,kfSG0Rir9m8FtcaghNEwSzOImUosfP4ThiNKBv7RmhK9GVA,107,eRjeDGCqy7WO7P_xd1M5RuOmlPeFl_gJH03Kik_KdF84xTrz6YhTeAN1Yg,105,RieH86qyXff_4BtYnSh4r0Qzen-UqO-0cgyhzrVUEWDgmPQ,110,HTUIbTdhQ3sXqiyq3dQ_7hQwGK7I6OBdnxJ-m8ob4VN1M62N4WMfTufj0w,888,517,68,119,350,7,BLUE,31,40,RED,2,2,BLUE,1,0,RED,2,11,RED,0,1,RED,0,3,RED
KOREA,KR_6055718853,4q4NzZZ-LZFwdLi_Q0aNFQcAH5B0DiEf4W5gn165oT3bxRQ,84,7pB8L7zs7CFE1pd2dEhDxvF6Ni4M-Ym_0V6ap9OR43sQXZCIjws6iyVz8Q,163,JjJZN1vi7tfk_inTlS-XrOYglfRXG9JFQLtyvVOf3-8qhzA,234,GRLu_6ITX7im0tAByL1vdaX5a8jZ_P5zzPO966m7t5arDaA,360,4k8yFgb1e-uPWqMPKbNCnPIlnj9CmYjJNAWDYwVYZAUyfxc,111,-1,76,-1,119,150,zSwEg5h30OKFnb0x98TpEf6sppYRZbaxvBkY7cPNY5uulRg,887,agPlGU0Gmxu5kULSP8vs9YrZoaWEqnCghvEo9QqQitn1oekZpRPYUS5tJg,59,7b6sshPbdkaRgQbgkntWgG4EwSdL70oARWVyJ71JTKZt2Qw,68,7PfWUQATLTjg9Tcq_SPfsN2_Ug8zTEvD4Z5vSsvJ7c5685Z0XiIZjVbgcg,15,7uL3v-Zhr_ClBeFUmjhSWKXg4Bh9AT1DlL7wNYThzU5b2A,22,268,-1,114,429,35,RED,17,41,RED,0,2,BLUE,1,1,RED,2,5,NONE,0,0,NONE,0,0,RED
KOREA,KR_6055686596,5A4WJpFsCzkRoVDHzNAVO6bre5LRlLSlu5bDjX2oBOs9qKE,113,EV23s0Fe5ptC8cyk1148besP5YnAtguSS9golPxZRwvwEyo,131,H-eWWpsHMRs2JLAvkUcgJMEgXlrgAtO2T75pKED6AsiCA89K,39,ijqne_joWPyZJiu34CqH57k65ajHGszH1G9EANhi1QBg2R8,96,4k8yFgb1e-uPWqMPKbNCnPIlnj9CmYjJNAWDYwVYZAUyfxc,267,78,-1,119,350,7,zSwEg5h30OKFnb0x98TpEf6sppYRZbaxvBkY7cPNY5uulRg,887,bdq-X70kY-VIhn3V_k_QAgwQkZXItyAHtzRo_dtni40h4urntp33_GzGig,62,30kOn3FDl5ZGBVple5TArkVrO9QBalACgeRkYFoVfjzBnVs,157,kThzELMCYW_yDlkKUnKuWceuCZ1sO4BfDeGbODBg5wB7Dk2X_MshZxgI9w,236,axwzA_MjQ-RvFoPc7sbP_Id9_0bR5FUAegxkLXobP1-uBoY,53,429,119,-1,-1,-1,RED,29,54,RED,0,2,RED,1,1,RED,3,9,RED,0,1,RED,0,1,RED
KOREA,KR_6055703458,5A4WJpFsCzkRoVDHzNAVO6bre5LRlLSlu5bDjX2oBOs9qKE,517,7EVFeC56UA5ABYer3Fg5YvFEhBMW62GXI48Vlr8i0r5Hee4s,62,C8JeB0UVt7XBWdBC1EsTOMUecwXQ7M2s3aT8BiB6GCyoE4E,112,30kOn3FDl5ZGBVple5TArkVrO9QBalACgeRkYFoVfjzBnVs,81,4k8yFgb1e-uPWqMPKbNCnPIlnj9CmYjJNAWDYwVYZAUyfxc,79,-1,350,-1,-1,-1,aFwzyFYDcqUvZje-bKywj8NPVlMxGj-MfCahYynTXvYVysQ,164,MMXkzt1vr0p3dCTUKb2OC2f0PZsVREqXSMGJYc3EX0cRv-WGXPJ9otMY5g,64,5C7Ab5bDdvKhppo5D5JoCiGkuW98oNYJLrjZPfo5cqpG20M,711,gRAACfC2nCztykyzPBsW6-P6Jm8pBukXmi5DofSfKmCh9xk,119,7VIvcm54M9PDf9tAJNXA2483A_mj5raxp1-WRuOpqDE7Wg,412,163,68,236,895,268,RED,17,36,RED,0,4,RED,0,2,RED,0,9,RED,0,2,RED,0,1,RED
KOREA,KR_6055359927,aFwzyFYDcqUvZje-bKywj8NPVlMxGj-MfCahYynTXvYVysQ,154,MMXkzt1vr0p3dCTUKb2OC2f0PZsVREqXSMGJYc3EX0cRv-WGXPJ9otMY5g,421,9DuDfYjn7jrSvyewdMwHh2RlenJ3-tp77Wujjkdsz8sDias,163,GaKfOMy2UW36Kd1SCbUu2igBKC-m-xN9mtUeHBvS5Z-hsM57OJJFIJvPtw,15,heoSztW2o4wmrhRytb5FH71n_REQ8BwyLzEZKbP5TpAQcNE,497,91,119,107,68,-1,E-4NOu6F3Uz_wzXGtffLPbksJuL_d6GQ7lvA3AW2xjWqC-i_rA_H4I1JgQ,113,sKqx97qOcUvVq8-_zjp6sbH9vVBGSgi0HwjwKauGyQYTukMZxcqyouJmXg,131,C8JeB0UVt7XBWdBC1EsTOMUecwXQ7M2s3aT8BiB6GCyoE4E,39,ZwyYC9lTBiIIbzkLtfE3gMLbwr_9EcTM-QE9e5v7LPyh_oRr-ako3E5PDg,429,4k8yFgb1e-uPWqMPKbNCnPIlnj9CmYjJNAWDYwVYZAUyfxc,555,350,-1,267,64,888,BLUE,20,45,RED,0,3,BLUE,1,1,RED,1,9,RED,0,1,RED,0,1,RED
KOREA,KR_6055307043,UJNnOEFA_V0Pw8PEogx5MleLbTB_F6-4OgrPF4sX5oF-hk5_7jWsGxJyRQ,266,UebFlWLP6JLzoF6CSlpX6bNCgON1vwqg8zeEU8I58xZKcL8Kna9sK8e02w,254,fy-jcZhVzp_rQPnPkxJhfvbrXduNzfksILADmiBuUmzCKM8,163,ZwyYC9lTBiIIbzkLtfE3gMLbwr_9EcTM-QE9e5v7LPyh_oRr-ako3E5PDg,221,4k8yFgb1e-uPWqMPKbNCnPIlnj9CmYjJNAWDYwVYZAUyfxc,201,267,105,895,350,55,AUd1jyo47g0GB7RzqZxSrzeUj3x7aduYMRe_ptPxkI9Jiso,79,z9WNO0liaXo6EbrXfhlIbJnAShc-PkfX-_N5IghGqIScJ6k,120,WXdBsmyFil3m4LECTdkxqOFPXvGw1DECF1u1n1sUJrkeuVU,103,q4Gfhk0t39H5enJ3TKZCqzdPn20tEdiD78vtVje963tOek7KbIGy_WtoGA,119,mQ46ImO-XeTQZ9QWih9LSbpid84l1H4_oQZ3M3Q4xPvgBaNTYXCtzK0Q5Q,111,-1,150,350,429,58,RED,6,22,BLUE,1,2,BLUE,1,1,BLUE,2,2,RED,0,1,NONE,0,0,RED
KOREA,KR_6055323611,aFwzyFYDcqUvZje-bKywj8NPVlMxGj-MfCahYynTXvYVysQ,106,NP4EoogQrBcRYr1mT0FEQHW2DiWZ-xjFRyRxoAW-1bRhcRU,76,KgSuGOGxEJikfizSiVtI5v9QcqtN2aPrEmWAyP3Rj9bkuB0,163,ZwyYC9lTBiIIbzkLtfE3gMLbwr_9EcTM-QE9e5v7LPyh_oRr-ako3E5PDg,15,JaASwUyn3eSV9ZEKHIPpQ_4BiaN9SF1NYtHyRt2kp27AJA,875,267,68,-1,111,350,vw7N9YLAgtt3OEuzBHDzq7gQjIcdhK-crpvGNdbm7co2dck,23,EV23s0Fe5ptC8cyk1148besP5YnAtguSS9golPxZRwvwEyo,64,WXdBsmyFil3m4LECTdkxqOFPXvGw1DECF1u1n1sUJrkeuVU,7,q4Gfhk0t39H5enJ3TKZCqzdPn20tEdiD78vtVje963tOek7KbIGy_WtoGA,119,4k8yFgb1e-uPWqMPKbNCnPIlnj9CmYjJNAWDYwVYZAUyfxc,555,78,68,429,236,350,RED,10,25,NONE,0,0,RED,0,2,RED,0,3,NONE,0,0,NONE,0,0,RED
KOREA,KR_6055087177,JaASwUyn3eSV9ZEKHIPpQ_4BiaN9SF1NYtHyRt2kp27AJA,150,Yf9sxpP_8RhCX6NToDz_23E4CJW_a_J99yJ-gMf5naGy31_2-C6ieEWf7Q,234,lzGPo1GEpcrZuv5vt97yvFeuCR1Plg8SQti2aFeoU15bgAk,711,vf1Rd_ltZrlmdvquHJTiEyZqe7RmycaPHLr2EedsDCeVNF5cMq-Eu-siSQ,15,T1O_JdL-MF2N1eZEzRDPngmhoy1Ski-bEV4mb0nm-Ho-jps,201,221,107,-1,-1,887,J0ySfQJalchSQwsygaduZf9FNntvRr_C7g1ggdzClMo2WbGDcgv-1TCE9Q,84,kfSG0Rir9m8FtcaghNEwSzOImUosfP4ThiNKBv7RmhK9GVA,80,sKEl_i6VZMCB7aE7NbSwwxEvCuY6Cf5b-uZVQZD4yCrxbLdBsuTWgP-PlQ,238,G2AfNpuukojd_I6gKHuWX-1oT1YnJU0o5IzJfZ-iLvAnQmpG6JLdXX3JPg,429,4k8yFgb1e-uPWqMPKbNCnPIlnj9CmYjJNAWDYwVYZAUyfxc,111,517,350,24,58,119,BLUE,35,30,BLUE,2,1,RED,0,1,BLUE,8,3,BLUE,1,0,BLUE,1,0,BLUE
KOREA,KR_6055035583,aFwzyFYDcqUvZje-bKywj8NPVlMxGj-MfCahYynTXvYVysQ,154,59UP7QAq3rsgsuVHm_5tkvG0b3wx6vwdwaerN7tFK8HdtrU,131,yhQ3qdMc7C-qBnCD3dIf-PCCzml84rQ1b0dn2u6Hs-n3E2w,246,kThzELMCYW_yDlkKUnKuWceuCZ1sO4BfDeGbODBg5wB7Dk2X_MshZxgI9w,429,4k8yFgb1e-uPWqMPKbNCnPIlnj9CmYjJNAWDYwVYZAUyfxc,888,-1,887,119,268,-1,v01m1fX6eoVqd3xVtks0_Zf9uKrln_jMmlqC3HTP5rmuch1YuvH04TC7Ow,150,4V72isCfHiIvdPa3D9wJh4s-xf1zO971w3SsRm10cPfwJK7EUlSWr4T9Ww,104,NAuWr_GacuhdYWocqp-8aE2goWMkjt1GzYXcDal9ie22Ue6pcb6HhBpS4w,517,vf1Rd_ltZrlmdvquHJTiEyZqe7RmycaPHLr2EedsDCeVNF5cMq-Eu-siSQ,81,T1O_JdL-MF2N1eZEzRDPngmhoy1Ski-bEV4mb0nm-Ho-jps,53,-1,268,15,421,-1,BLUE,35,18,BLUE,3,0,RED,1,1,BLUE,8,2,BLUE,1,0,BLUE,1,0,BLUE
KOREA,KR_6054567963,g0ktFml3lfIemO-V5AdckvTygQQD0xpoyeEHTdMybvcwXZc,887,UebFlWLP6JLzoF6CSlpX6bNCgON1vwqg8zeEU8I58xZKcL8Kna9sK8e02w,234,qYv7jpEcx9JYAzgh_jXPpMOLMrCmCsfSIYnNAmyQIT4ia8VIVihcC1ROXQ,163,GhchGpHKQJ_RS_UqLozjqVtCvsa7cfq3N2D6PIyj5ccOS_I62rN9qMTiHw,119,lzGPo1GEpcrZuv5vt97yvFeuCR1Plg8SQti2aFeoU15bgAk,555,15,-1,114,895,429,LTPeC0_v5XOTQMoTnbyIXAnmxgQQrk8ouQyMDsoXeaVj-br1g620K-6a6w,84,sbDHeqqUvLDhNA3yYnS3t93fG4d9doqldZjOkb3rwrybN_HaFAGyIp0H1w,131,M7LF5ww6oE0gRXrHuUtYdRUleJZUoGgwZhCdgO5IvxGSIhSgh7HdM9SZSA,246,4k8yFgb1e-uPWqMPKbNCnPIlnj9CmYjJNAWDYwVYZAUyfxc,236,u_oreJ9vKRrBdbVp5U_OCyUyAFV_6jjlyUqOGJWv80vEfNE9Qkcs-tyh8g,267,895,-1,91,7,114,BLUE,26,32,BLUE,1,1,BLUE,2,0,BLUE,3,6,RED,0,1,RED,0,1,RED
