SERVER,BTOP_CHAMP_ID,BJGL_CHAMP_ID,BMID_CHAMP_ID,BBOT_CHAMP_ID,BSUP_CHAMP_ID,BBAN1,BBAN2,BBAN3,BBAN4,BBAN5,RTOP_CHAMP_ID,RJGL_CHAMP_ID,RMID_CHAMP_ID,RBOT_CHAMP_ID,RSUP_CHAMP_ID,RBAN1,RBAN2,RBAN3,RBAN4,RBAN5,FIRST_BLOOD,BCHAMP_KILLS,RCHAMP_KILLS,FIRST_DRAG,BDRAG_KILLS,RDRAG_KILLS,FIRST_HERALD,BHERALD_KILLS,RHERALD_KILLS,FIRST_TOWER,BTOWER_KILLS,RTOWER_KILLS,FIRST_BARON,BBARON_KILLS,RBARON_KILLS,FIRST_INHIB,BINHIB_KILLS,RINHIB_KILLS,WINNER
NORTH_AMERICA,68,78,91,119,37,240,517,238,203,62,92,77,43,222,134,114,268,21,23,147,0,17,28,1,0,3,0,1,1,0,3,6,1,0,1,1,0,1,1
NORTH_AMERICA,875,154,246,119,32,44,234,25,104,114,62,28,58,21,40,104,23,24,157,12,1,24,43,0,1,2,2,0,0,1,1,4,0,1,0,2,0,0,1
NORTH_AMERICA,875,163,41,236,134,21,119,23,114,62,268,2,103,360,80,166,350,895,147,15,0,40,15,1,1,2,0,2,0,0,11,0,0,1,0,0,2,0,0
NORTH_AMERICA,2,163,777,236,267,23,245,84,107,555,74,62,157,360,53,350,9,23,81,221,1,31,36,0,1,4,0,1,1,1,6,8,0,1,1,0,1,1,1
NORTH_AMERICA,777,60,246,236,267,163,350,120,119,114,8,131,238,81,40,7,888,53,150,203,0,37,15,0,4,0,0,2,0,0,11,2,0,1,0,0,3,0,0
NORTH_AMERICA,200,79,268,147,555,23,119,38,235,114,84,238,55,15,117,53,114,141,8,23,0,16,10,0,3,0,0,2,0,0,9,0,0,1,0,0,2,0,0
NORTH_AMERICA,122,54,777,74,432,107,17,888,555,77,82,200,39,236,267,141,114,246,23,203,1,47,32,0,2,1,0,1,1,1,10,4,0,1,0,0,2,0,0
NORTH_AMERICA,266,131,157,21,53,888,23,7,120,107,2,48,517,360,111,888,9,29,350,107,0,23,36,1,0,3,0,2,0,0,3,7,1,0,1,1,0,1,1
NORTH_AMERICA,41,245,268,202,22,555,350,234,114,203,92,141,13,163,43,38,107,7,91,23,1,25,38,1,0,4,0,2,0,0,5,10,1,0,1,1,0,2,1
NORTH_AMERICA,41,80,136,145,555,7,-1,203,-1,-1,516,246,517,147,26,55,107,114,120,119,0,19,30,1,1,1,0,2,0,0,3,3,1,0,1,2,0,0,1
NORTH_AMERICA,24,497,163,29,121,7,30,888,106,-1,114,59,50,15,22,41,-1,-1,39,555,0,34,22,0,4,0,0,2,0,1,9,3,0,2,0,0,1,0,0
NORTH_AMERICA,240,876,246,222,37,235,114,7,20,119,84,44,67,523,432,7,54,-1,104,555,1,10,27,2,0,0,1,0,1,1,1,9,2,0,0,1,0,2,1
NORTH_AMERICA,23,44,517,119,22,111,-1,268,157,63,86,104,7,360,497,164,777,157,203,555,0,32,41,1,1,2,0,1,1,1,3,8,0,1,0,1,0,1,1
NORTH_AMERICA,113,91,157,523,37,24,-1,119,7,107,84,80,50,15,43,119,-1,246,114,517,1,8,25,1,0,3,1,0,2,1,2,9,2,0,0,1,0,2,1
NORTH_AMERICA,106,876,61,157,99,11,350,114,200,82,150,79,84,145,497,163,350,711,15,-1,0,21,10,0,3,0,2,0,0,0,3,1,2,0,0,2,0,0,0
NORTH_AMERICA,62,64,84,17,238,157,2,25,11,200,64,29,517,51,43,350,157,35,150,15,1,62,52,1,1,3,1,0,2,0,6,9,1,0,3,1,1,4,0
NORTH_AMERICA,27,28,238,21,350,11,555,114,-1,35,41,234,99,81,238,22,101,200,39,117,1,18,13,1,0,3,0,1,0,1,3,1,2,0,0,2,0,0,0
NORTH_AMERICA,266,104,777,30,235,203,119,141,67,24,516,80,55,221,53,119,114,78,89,166,1,22,40,1,0,3,1,0,2,1,3,8,1,0,1,1,0,1,1
NORTH_AMERICA,777,131,157,222,57,203,37,200,888,41,114,78,4,429,497,200,517,41,119,154,0,20,33,0,3,2,1,0,2,1,3,10,1,0,2,1,0,3,1
NORTH_AMERICA,150,15,157,131,111,200,24,895,9,235,80,777,154,202,22,26,555,119,41,895,1,2,19,1,0,2,1,0,2,1,1,4,2,0,0,2,0,0,1
NORTH_AMERICA,82,234,517,429,53,15,895,203,119,24,68,91,50,81,12,350,777,235,104,203,0,32,18,0,2,0,1,1,1,0,5,0,2,0,0,0,1,0,0
NORTH_AMERICA,114,62,163,115,432,9,350,30,104,28,24,78,38,221,147,245,37,-1,350,104,1,24,43,1,3,3,0,1,1,1,8,8,0,1,2,0,2,2,1
NORTH_AMERICA,114,98,69,360,3,200,-1,-1,350,895,102,887,81,119,555,15,25,350,122,11,1,6,17,1,0,1,1,0,1,1,0,4,2,0,0,2,0,0,1
NORTH_AMERICA,90,141,245,15,37,238,200,41,11,266,82,14,517,895,26,777,55,350,27,555,0,46,30,0,4,1,1,0,1,1,9,5,1,0,1,0,2,0,0
NORTH_AMERICA,266,64,517,236,432,200,20,122,245,895,164,81,50,67,350,107,200,103,114,9,0,11,24,0,1,0,1,0,1,1,0,2,2,0,0,2,0,0,1
NORTH_AMERICA,78,876,103,222,147,895,350,16,30,11,84,72,142,360,555,221,67,35,157,81,1,5,20,1,0,1,1,0,1,1,1,3,2,0,0,2,0,0,1
NORTH_AMERICA,85,62,92,81,147,104,103,86,17,22,79,28,246,157,40,895,350,163,104,23,1,28,48,0,3,2,0,1,0,0,3,9,1,0,2,1,0,1,1
NORTH_AMERICA,114,245,238,523,117,350,895,200,235,246,24,9,55,18,497,16,421,11,360,28,0,28,7,0,2,0,0,1,0,0,10,0,2,0,0,0,2,0,0
NORTH_AMERICA,875,107,517,67,53,266,203,147,246,163,150,20,38,15,43,119,203,91,238,24,0,43,21,0,4,0,1,0,2,0,11,2,0,1,0,0,2,0,0
NORTH_AMERICA,122,77,4,221,37,203,15,24,119,114,67,555,166,145,238,55,9,147,30,-1,1,33,24,0,4,0,1,0,2,0,10,5,0,1,0,0,2,0,0
NORTH_AMERICA,41,64,79,15,22,23,203,350,32,29,92,20,163,895,1,-1,203,55,119,114,0,30,41,0,1,3,1,0,2,1,3,11,1,0,1,1,0,3,1
