BTOP_CHAMP_MAST,BJGL_CHAMP_MAST,BMID_CHAMP_MAST,BBOT_CHAMP_MAST,BSUP_CHAMP_MAST,RTOP_CHAMP_MAST,RJGL_CHAMP_MAST,RMID_CHAMP_MAST,RBOT_CHAMP_MAST,RSUP_CHAMP_MAST
83211.0,195253,55704,11785.0,1126503.0,74489.0,20484,15256,58749,61523
236663.0,6789,293381,144002.0,64186.0,1808311.0,23842,17128,225222,12686
1120660.0,23467,30404,31770.0,1743192.0,487654.0,19858,17128,392959,1140018
46895.0,4689,14761,36832.0,12866.0,101981.0,5696,55704,966377,112139
202433.0,56856,586234,971.0,151422.0,101981.0,6700,17128,37981,106445
8271.0,710840,18302,7534.0,10719.0,1121.0,38936,823454,12707,332170
32911.0,209985,390532,146944.0,4293.0,41281.0,511619,4290,29674,112
784691.0,66540,92720,322932.0,10719.0,142238.0,12421,18302,234413,1362633
541984.0,11518,49906,101765.0,115413.0,586234.0,466848,7281,118720,1756257
908167.0,27461,2042692,629.0,535513.0,591842.0,8711,160070,132787,177796
6384.0,20582,68423,19997.0,14148.0,56121.0,242751,21865,23490,109704
3388533.0,32068,28215,54919.0,227862.0,38928.0,39484,112288,24214,103176
11040.0,1035677,325737,8269.0,4164.0,909229.0,198867,12400,5277,1743719
39877.0,7714,99574,10669.0,25035.0,2629.0,109068,826548,8303,265281
600626.0,154977,99619,110360.0,52617.0,76936.0,273886,254555,15833,1659383
26468.0,181975,11160,23189.0,54422.0,664890.0,20582,19214,111462,51731
4458.0,466848,13173,297201.0,64186.0,74489.0,22462,22906,112797,67507
12732.0,33263,610742,319633.0,43824.0,84181.0,32068,96579,858,5496
298555.0,32068,399003,32401.0,136996.0,56115.0,6123,96579,67354,838615
16775.0,9653,3923237,53068.0,837868.0,25406.0,34070,233739,93,47673
113612.0,16336,76832,322932.0,122855.0,317327.0,89954,233739,2321411,45981
17460.0,6220,24439,25232.0,124925.0,7840.0,109068,3923412,20136,15173
350.0,14080,68700,50896.0,65746.0,2591.0,479508,446819,26760,930650
15058.0,12744,800112,103871.0,929672.0,11163.0,32068,88537,3938,464180
32095.0,31070,15792,246182.0,101663.0,352674.0,466848,96579,113949,399354
699797.0,32068,133927,407051.0,98769.0,79284.0,47835,181445,8205,37184
265990.0,16336,25439,283721.0,837868.0,1518385.0,110165,401204,1104754,154460
1978022.0,369754,316958,131373.0,25282.0,47150.0,466848,66968,59159,1708988
94019.0,80515,77209,407051.0,87940.0,11127.0,34759,4325,345195,216551
80588.0,31929,87830,662009.0,13789.0,22393.0,56856,163477,29139,71875
73649.0,50988,71758,375087.0,5977.0,135212.0,116793,2042692,60896,55919
6924.0,601017,519612,246146.0,229957.0,7131.0,277249,163477,45143,178262
16838.0,220830,1034,34516.0,56208.0,18587.0,13182,163477,60422,16614
29887.0,97240,285274,15337.0,1659383.0,84205.0,5218,1897964,109164,29552
169660.0,89470,316674,12048.0,1136454.0,84181.0,60720,163477,187758,1743719
80674.0,40273,33092,57255.0,1748.0,376666.0,53615,165052,31782,4917
1518385.0,127268,49906,23058.0,84831.0,3177.0,2876,163477,36751,125469
5014.0,44333,1707852,53949.0,15524.0,182392.0,59111,163477,89082,40753
90416.0,58359,161767,93439.0,15623.0,33050.0,1036505,59065,22346,320625
76787.0,52086,147903,346116.0,1652999.0,1333497.0,30975,1251526,55568,25095
237195.0,866894,141298,157524.0,25095.0,3389828.0,28891,285407,128202,236704
9499.0,52086,275588,57255.0,154460.0,84181.0,11962,147903,283721,171327
519774.0,18333,58318,184647.0,26515.0,4861.0,121509,134475,57255,77131
176566.0,309525,135212,373172.0,156805.0,71285.0,116793,122318,163479,146655
15710.0,24381,74467,59716.0,86744.0,9119.0,24799,163477,111400,1708988
32853.0,5281,8550,47166.0,50869.0,13285.0,1648823,163477,2491,357880
3283607.0,73286,32655,23058.0,8404.0,84205.0,1977,209225,129255,30281
37467.0,900424,2220,25232.0,85817.0,15058.0,104360,88865,189796,27771
47217.0,114827,699087,19250.0,72915.0,702489.0,46126,209225,237178,87555
11163.0,130578,207188,208517.0,108972.0,501600.0,78268,25439,106336,29746
40519.0,11962,49906,3009.0,57497.0,3389828.0,8594,36942,39288,95448
27749.0,41192,207188,21622.0,93548.0,108706.0,14329,137031,177440,228794
515402.0,514602,36843,70808.0,22533.0,40959.0,8953,44819,442269,9649
1688970.0,83206,112288,1707852.0,394852.0,38355.0,1426835,36942,354292,34451
26007.0,206505,207188,99225.0,66027.0,101981.0,32144,158274,270532,1013881
126427.0,9790,207188,738889.0,1126503.0,101981.0,2621,7456,16256,115301
9460.0,24799,36843,147635.0,105232.0,519927.0,46757,2463,3469,20033
385068.0,2621,36843,116039.0,843.0,46228.0,6074,46659,112797,161823
13443.0,33887,151031,2170.0,13210.0,47150.0,45337,209225,59159,547204
806861.0,265324,207188,16675.0,149033.0,44360.0,277249,161272,120843,3095357
3527.0,10697,44750,3409.0,3784.0,23666.0,515025,161224,3394,848968
4113.0,36632,140015,110493.0,54267.0,8668.0,5488,156364,207316,1126503
45401.0,138967,218452,12157.0,1136454.0,5643.0,56326,94567,152892,13789
54614.0,1035677,70566,2813529.0,615955.0,49974.0,75652,61641,77978,107552
605288.0,215747,10399,77274.0,18875.0,6300.0,97240,12199,297789,607587
767051.0,37617,209671,57662.0,615955.0,23603.0,3754,254555,157898,95417
171534.0,76571,262415,51861.0,399354.0,227691.0,24497,88537,12538,31512
274233.0,350421,99619,65625.0,313929.0,181224.0,71241,70517,7270,7617
7576.0,46126,268430,28207.0,191222.0,101981.0,15753,11231,108206,306619
75890.0,150147,980107,80883.0,45694.0,113612.0,71241,262415,27008,43839
17024.0,194007,10541,1153.0,64186.0,8871.0,116793,14075,4304,109164
21570.0,39715,49906,37184.0,80074.0,8594.0,50879,519612,16243,320625
32853.0,50879,138968,3116.0,615955.0,1978022.0,143325,37982,89082,113399
21605.0,42982,1754134,75944.0,67507.0,1688970.0,16336,367892,57255,403753
36943.0,123213,3923237,141986.0,8917.0,253444.0,13449,7652,623936,67431
15058.0,25754,3923237,3377767.0,195934.0,12840.0,215772,455931,277940,403753
56726.0,188844,137368,2320349.0,206061.0,31007.0,2223,111876,19388,63686
9212.0,35470,242229,6024.0,25056.0,31007.0,12205,128525,29529,663760
2046941.0,3477,161504,107538.0,191222.0,2069723.0,52086,88537,407051,50679
1915310.0,3340,5408,136444.0,327515.0,260754.0,136143,64689,380111,102284
113612.0,26448,126077,13431.0,161823.0,125862.0,76148,257553,27565,125469
1518385.0,17068,34693,48381.0,124925.0,4616.0,76148,11847,197097,50679
55719.0,54354,22261,104976.0,168558.0,128728.0,14080,61132,9814,125469
5523.0,23027,13135,407051.0,216551.0,25234.0,84035,52748,9511,125469
10461.0,273052,2042692,3987.0,105448.0,702489.0,40831,49906,8338,218808
722433.0,147123,16250,55568.0,101462.0,659676.0,94052,218877,109971,484220
316199.0,2370872,4807,137684.0,1743192.0,8334.0,210140,71547,16376,122008
315902.0,74826,91249,11737.0,111175.0,21041.0,15329,61328,176122,50679
1082199.0,406591,5124,38411.0,236.0,1978022.0,17935,118714,295470,125469
17060.0,19690,65989,114428.0,25366.0,257389.0,121185,1097,10348,125469
25478.0,117082,223017,115980.0,425664.0,100443.0,35258,275683,775434,63035
49974.0,47481,50382,208517.0,14825.0,54191.0,20107,137368,192392,230070
857229.0,90202,112288,78782.0,23590.0,15058.0,40562,86711,55125,135027
26694.0,90202,99619,58749.0,11684.0,858065.0,126016,5703,16713,315431
18557.0,303033,137568,220401.0,1184.0,170513.0,257588,72343,94675,7507
8271.0,27615,211073,49293.0,29079.0,37123.0,71241,44769,225222,4714
9109.0,40831,14349,102456.0,468120.0,31380.0,20534,7763,46792,930650
278353.0,50879,19465,10701.0,35926.0,242303.0,1569,34591,109164,4767
18557.0,2149,3009,2139.0,88184.0,591842.0,71241,1978895,78907,1708988
65663.0,16575,33888,57255.0,50869.0,55542.0,1291591,3200,84729,160109
38928.0,494,2016,197097.0,66027.0,108706.0,495088,128801,57671,69631
38928.0,5169,9987,269881.0,122855.0,49894.0,21737,57550,161727,59485
6934.0,206505,301961,237147.0,13575.0,18557.0,178425,112288,250317,5832
61498.0,377159,1754134,245019.0,1997501.0,18557.0,1816,92720,307145,108972
18557.0,295968,33888,15833.0,151422.0,1688970.0,2004,1755144,57147,108972
40692.0,55215,7652,21585.0,375613.0,116043.0,493501,325737,177440,27611
65663.0,5565,23547,44203.0,75469.0,333987.0,4321,144894,662009,106445
551527.0,10817,15380,358705.0,294256.0,34821.0,46648,21783,270532,476538
214948.0,14067,812867,94594.0,57589.0,8271.0,138967,5124,28213,50679
89599.0,73157,93535,4197.0,45860.0,39349.0,17013,24902,373537,484220
137332.0,5160,395701,258626.0,32148.0,46557.0,4597,170302,5212,234598
149626.0,90202,204065,38090.0,115301.0,18333.0,27649,46639,36822,392948
1945.0,194007,107958,31646.0,50574.0,14119.0,11005,53670,10961,1574883
591842.0,795976,47180,33419.0,16278.0,23615.0,14055,242954,327555,611028
42534.0,143325,135017,352756.0,132784.0,35161.0,565438,108042,7831,59485
699797.0,8083,88537,40015.0,216551.0,31769.0,68677,41269,22732,58801
23615.0,194007,231246,220401.0,1090726.0,5291.0,83687,80823,37559,57722
135244.0,56326,269305,88184.0,101.0,18333.0,20107,700770,100976,425664
8716.0,52086,1251526,297201.0,31748.0,1945.0,132898,164722,171118,2496
13182.0,12979,68772,59159.0,76337.0,242954.0,36385,113201,220401,50708
30625.0,30191,46117,12048.0,176008.0,42534.0,117082,2042692,42305,242837
312955.0,6117,2042692,289884.0,217468.0,42534.0,30191,123209,176122,53928
13182.0,121185,12012,3131.0,1136454.0,202433.0,198870,111907,32545,151422
320112.0,208788,1316008,80012.0,168849.0,18333.0,6071,26889,220401,93193
187294.0,352,84412,1596.0,149950.0,31769.0,83206,3377767,49293,66027
5643.0,125453,20465,534160.0,102638.0,46557.0,114102,10923,277940,98208
26320.0,147039,103645,35800.0,87940.0,23615.0,73407,426936,58749,1708988
42534.0,111950,46639,101044.0,18329.0,93658.0,23842,96728,203109,84187
24520.0,12312,3377767,141913.0,40198.0,298657.0,60720,209120,163951,10126
387103.0,5259,23775,639522.0,242837.0,3245.0,4445,209120,57255,460
444484.0,12131,325737,138254.0,130096.0,3177.0,1036505,742896,186456,216551
