SERVER,BTOP_CHAMP_ID,BJGL_CHAMP_ID,BMID_CHAMP_ID,BBOT_CHAMP_ID,BSUP_CHAMP_ID,BBAN1,BBAN2,BBAN3,BBAN4,BBAN5,RTOP_CHAMP_ID,RJGL_CHAMP_ID,RMID_CHAMP_ID,RBOT_CHAMP_ID,RSUP_CHAMP_ID,RBAN1,RBAN2,RBAN3,RBAN4,RBAN5,WINNER
EUROPE WEST,58,104,55,119,44,117,29,517,166,268,92,245,518,221,16,163,166,429,555,887,1
EUROPE WEST,24,78,7,221,16,91,429,555,141,122,113,59,55,119,53,15,-1,23,163,166,1
EUROPE WEST,887,234,55,236,267,895,119,350,421,166,85,254,103,429,53,200,15,163,23,166,1
EUROPE WEST,113,106,38,895,43,4,166,107,119,555,41,131,126,222,57,350,29,555,40,238,1
EUROPE WEST,58,62,84,81,101,166,895,163,15,432,39,56,517,145,111,38,119,429,163,246,0
EUROPE WEST,113,254,112,895,40,429,114,15,29,246,58,234,163,119,526,5,888,166,28,111,1
EUROPE WEST,150,76,238,202,555,119,166,421,350,895,157,60,163,81,888,350,246,131,62,58,1
EUROPE WEST,157,60,163,29,888,895,246,119,62,58,126,131,150,147,235,-1,421,555,166,107,1
EUROPE WEST,79,427,157,145,111,55,7,-1,888,887,85,5,268,15,432,40,350,166,429,119,1
EUROPE WEST,58,154,268,119,12,166,107,29,40,246,420,254,245,15,117,887,84,111,23,78,0
EUROPE WEST,85,154,39,429,888,50,412,166,119,-1,79,200,84,81,432,163,78,895,350,266,0
EUROPE WEST,106,254,163,119,40,28,78,122,350,114,58,62,45,110,412,38,429,80,350,166,1
EUROPE WEST,85,121,157,81,432,7,-1,119,166,203,122,107,84,523,412,200,429,117,40,24,1
EUROPE WEST,150,2,147,81,37,429,-1,166,246,103,92,78,163,360,53,-1,107,119,114,429,0
EUROPE WEST,887,78,350,221,147,84,163,200,166,154,516,141,517,15,555,429,122,119,62,7,0
EUROPE WEST,122,254,13,895,888,40,23,141,429,350,887,421,7,15,432,78,429,166,119,163,0
EUROPE WEST,516,64,112,119,888,62,887,555,28,246,150,78,238,15,143,24,200,895,163,40,0
EUROPE WEST,113,200,101,895,111,166,29,887,84,141,59,104,7,81,43,119,78,350,555,429,0
EUROPE WEST,79,200,98,15,101,114,84,887,147,350,2,131,238,30,267,-1,16,114,-1,147,0
EUROPE WEST,24,234,517,523,432,-1,141,114,62,15,85,64,84,429,888,107,200,-1,350,62,0
EUROPE WEST,48,234,517,523,526,-1,-1,114,246,163,150,876,103,15,40,26,119,114,429,555,0
