SERVER,BSUM1_ID,BTOP_CHAMP_ID,BSUM2_ID,BJGL_CHAMP_ID,BSUM3_ID,BMID_CHAMP_ID,BSUM4_ID,BBOT_CHAMP_ID,BSUM5_ID,BSUP_CHAMP_ID,BBAN1,BBAN2,BBAN3,BBAN4,BBAN5,RSUM1_ID,RTOP_CHAMP_ID,RSUM2_ID,RJGL_CHAMP_ID,RSUM3_ID,RMID_CHAMP_ID,RSUM4_ID,RBOT_CHAMP_ID,RSUM5_ID,RSUP_CHAMP_ID,RBAN1,RBAN2,RBAN3,RBAN4,RBAN5,FIRST_BLOOD,BCHAMP_KILLS,RCHAMP_KILLS,FIRST_DRAG,BDRAG_KILLS,RDRAG_KILLS,FIRST_HERALD,BHERALD_KILLS,RHERALD_KILLS,FIRST_TOWER,BTOWER_KILLS,RTOWER_KILLS,FIRST_BARON,BBARON_KILLS,RBARON_KILLS,FIRST_INHIB,BINHIB_KILLS,RINHIB_KILLS,WINNER
EUROPE WEST,sd0c7E2fA3ymn7IAGwaYIAJ01ENqMwZci4MQxAQVz1fffIw,17,Gu0-dhJT1_53zm_TQt4BQ1uQ_CZhl4fHrN33OQG3cfz5teM,80,jp4PINBaLSW9OWy2ZqKqnnzcYz5kn5iY3InAfnyVEhI4k58,59,UaGpvi8y4tlA9aqNquRWdSzM4yrJnN7HxYumWsg3AmQvtD4Kx29n-n7rKQ,30,oIVAMaNkewIQQPvb7MhWtHFWUxPXQ2sqnsaHpFfD1mtnHamM,22,78,266,235,28,421,ljulKeuEoNH6lAuKXRsg7korf8EzHBePSt2XdC_PgoGwfaA,887,k2a5HoRnB083XF5CiSBpN2YAzi6wEC6nvuuynbTwdJ1-i_c,104,aGydhPScLpqltMOGjSEhMwvFfK-NJg4GXKEmVR-A4dnta4M,55,0lSpsy5PxDo74Dpjj6pRfIAm231sVt85b4C0NjZXSuJYP_wP26Lv_Jyosw,221,vqB92gcs6pfqJIWR8l5fSv63tyGk-8Yks_33ePIJ189GVSQ,412,29,119,555,141,429,0,13,32,1,0,2,0,1,1,1,1,7,2,0,0,2,0,0,1
EUROPE WEST,l66zV0riNzQXaYY92KGYVvSbqAxyhg1yj1OJf76leZmEJpQL,92,LYGBJFq85pt7Ym-2qiynxzuAMkpCxSzffzUZXshqR3Tv3Ubb,72,siawldMhkAfflk0Zmc176CylTpsdLL58tlMP8Zy3e68rqiG91HF-pN3OSw,8,fCV1FQO5QX4SIvQxBKro2YZwTEWiRu20Ul2e4laFYvbeob4F,157,BQQcK9L7G1olSLkiCTJ1lAa78fV4kwziPt0Gmnbs7uo6PTo,12,119,55,114,246,555,-0xKeKNvTNUPuswOsqGYJVhcBlx-ydIhH_wJ30Y-1_44Iww,58,Gu0-dhJT1_53zm_TQt4BQ1uQ_CZhl4fHrN33OQG3cfz5teM,78,aGydhPScLpqltMOGjSEhMwvFfK-NJg4GXKEmVR-A4dnta4M,43,0qajJdR74aOXfsBBkrjYbnzSMGzqdMFZaGh7lJt32FaDVCs,15,NKuLiXl6ciNPuUXhg_zEtbWMnDIDplbRUiKq8Fk_babnhow,32,429,555,119,166,200,1,26,32,1,2,3,1,1,1,1,4,8,1,0,2,1,0,2,1
EUROPE WEST,Z9T9hdDGsFsESNS8H5TQbHkZvbhYKtULGGlNdopJ6JobVyo,150,Gu0-dhJT1_53zm_TQt4BQ1uQ_CZhl4fHrN33OQG3cfz5teM,80,jhpCuvT9WWRPBQdEBPbizkcR8jbPUKgsA4CwQg2qxJm8oQmQ,103,rvdvypJ52i7jk_iyb0OwCwFPBNj4sSA4hQPhjmIOyPNmKS2o8b5Bg6-UCw,51,tUyXI2Og22wZN9Rs-Lnpr0lVZGCjht9d83z3GtFStuHeVFs5,432,119,-1,78,350,429,xPd3PTaN8ILFRVPeGlFYvVN4ypgn1R4sGbbGRNEpZ5GRYGc,59,2GFify3w-9uDrzpE8VJX57lCCOS0UONJjniEb7MXBD34dPlCHbGSCdTFtg,121,-7clMexNnoodWkuxAcVbf7URvWSMJDUzAatsHhUZ5XsLFlc,26,7TuseBeL0rqTFLP9keTDPSrPcHm2PvtEABPTNJgeGyK478U,15,1OIKCfeumEmZJEJMLJHn_hu1QzEqVydistOx4NtNo-BPNuc9SwmcHC4ykQ,60,163,119,111,107,777,1,54,40,0,4,0,0,2,0,0,11,3,1,1,1,0,2,0,0
EUROPE WEST,19D2O1B4jo5vMB2tLth1PxVY6gN-UJ64C3558aSjL_FZpoI,114,7_O20Md7WfGLLMj0RndSMydggyjZhBiQEnWkTjWJZ0d_Y5mriEh-Ei39Rg,30,ZLeCq15ODGEx-2hIclJKnDnLtfucESNA__wgqeimwW5It0E,163,rX8hp7Sq--USjWMJllXDpk6jcIgDr4TbSHRd8mTLaNgYmcmbT765PfeUSg,81,ZWrN1mI99SJM3tpf-UasnYwoHtbZR0KURM154rdEK2OLGIDW,40,107,200,121,15,147,ywO74-4pnydIN6YCjakkdJwR6YrB4Kl2oW0neuFPALZvos4,2,Gu0-dhJT1_53zm_TQt4BQ1uQ_CZhl4fHrN33OQG3cfz5teM,141,SFGESKNZozYBXgKbRfOiNuStO3rm0DuHz1rqS9kfp0OvWMhzkVu9jtdHdQ,268,dJhE_-wfFBbxWQ16z34X8iya45s8Ur2TwWjK4jnMjkUpb5di,119,LOh4QO-AaJvk2zHgN5YYzQfwz8eyj6B_vJMNqGsb25F5R4I,111,23,895,360,-1,350,1,32,34,1,0,4,0,2,0,0,9,9,0,1,0,0,2,1,1
EUROPE WEST,wQjOSLYIsJ6fgzYibvfuUVKodfxCVeD_dxaH27LW2VLmXQs,887,AFlCYDxC5OqBUeKH8IHYKd9ZUV429TkizKVUbk6y7EidILE,104,NSj_I-BkvuORSr_tjRKa6S7XNQjfoAYUWQl2nd5jWCctsXvhjLmrOLefIA,127,xP7HZ5YbtWUXCC-vg6Qiljc4fGsLoX8C2l1FFM8vpVjbfiM,429,LOh4QO-AaJvk2zHgN5YYzQfwz8eyj6B_vJMNqGsb25F5R4I,555,141,895,38,78,84,baHqRA_y8kk0epjf_m2UylMZ1DlbvvF9SFFE-l2apKuqMUFWhQVL1eRftQ,777,Gu0-dhJT1_53zm_TQt4BQ1uQ_CZhl4fHrN33OQG3cfz5teM,234,rX8hp7Sq--USjWMJllXDpk6jcIgDr4TbSHRd8mTLaNgYmcmbT765PfeUSg,45,K2DZXIQlsTRMeZpcE3zkz325GClSrdeeRFjwR7tsO-I5lg1_iLGOZ_lo0w,202,FCa3rAHv874SGyQC9WtFNZmIWhnxlLum8NVtNk2stjbjHBU,432,203,29,38,119,157,1,7,25,1,0,2,1,0,1,1,1,4,2,0,0,2,0,0,1
EUROPE WEST,1Tp9NMHOPAQDz3EndAowuYXd46dixAQ8XMVlZv2Wv5-pvzg,200,x3x6asHKbZcBtTcJetQcPwAsu_RSJngmi0Ufrg43bnmfLDUw1wOkuCrVgg,102,BzCC9y_ZgIw2hZmqXw7d2hLremqj9JpK_hCI5bZ23bX2aqk,103,AABHZ6CwTkkjVim85UDvhMbjMUTqQzp2c5Sj7eEhDIlTgxv8,81,zT5KrBB8voUcnkuzK43LIlbtlcNA_RFQhIsM-xH3akqXFcM,43,887,35,421,245,350,8zc4jw-cE01Km52Yw1zLCsli2LEmOU8wsBctZJJJhCZOWm5z,164,Gu0-dhJT1_53zm_TQt4BQ1uQ_CZhl4fHrN33OQG3cfz5teM,78,NHEzktktk8wknoEBlRY9_RKIEbH_UJTdQg6v_c3YyC0hPA6X,268,CRNfe_WsFexpzstr8Dp9pS5tSIjrfqzx_SKQCFCGSlsBCEE,429,nomsWtm0vrZRymGfqgaYBaIj7-WQGq5nHjrGYmve82i5fJ0,888,127,350,119,887,141,0,32,18,1,3,1,1,0,2,1,5,6,0,1,0,0,1,0,0
EUROPE WEST,NKuLiXl6ciNPuUXhg_zEtbWMnDIDplbRUiKq8Fk_babnhow,516,-_tAiwPDwG7AVn4Nwc2tx-d5ZXggLan4TRh3KItGg7zXpDL1_zfRvAo29w,234,l18PKfukA9g-ht9isV1mMVrEV6nhaAKlTercHfv84y6FtUZjVgRgHax1mA,163,r_XDTLEDCR_9li2o8muI8ynW_FHGWi3n5WetqCfNzmGGGDI,15,ZQVrXTDsZaazc90SeMqbIl2EYEZI1i0Iwbs6xlxA97rOod0,37,141,429,122,119,-1,A2wOT4cTm70IkE75hJsUZU3UGWCaj6_0KsyMMfVzGq1CdtA,223,Gu0-dhJT1_53zm_TQt4BQ1uQ_CZhl4fHrN33OQG3cfz5teM,121,w-U8L-gIaT1yVY9vRYrYyCk0ZgpufjvPZx2LI4mB4Q_TEBm5Ga8_wLucDw,112,Ai41hi4b8YOMXB-pODF6esdXnn4MtEa6LMB2NKugpFpahSce,81,xhe0Y3CU01HOnhasc-CMjcxmk61WYkfgaNurbhomxqXEnTJP,350,91,114,221,888,429,0,23,32,1,2,3,0,1,0,0,6,9,1,0,2,1,0,1,1
EUROPE WEST,Ft0GOcLR1wTeF0MCExwxWgfbfUnT0TOegwRBqXXlGOYQEEs,69,bGAVFQkc9renGDwyTVCnYMs8m8DDBosmt-CoQov6_MBc3Mac,107,IFqUmT24Tvc3HEj-QeGnF9asNmuvanxgXTgskalKBoJawMs,245,7Fa7S45GBBFAvaW3BGMq4AJpClEZ61ZamQCUPYjGAgBkxRg,236,oOAFBsgvJaIZKLeXsxtfFHJLf03PyR2gDC7419S0lfwNtNNFyPGkY45OzQ,267,888,119,200,41,84,sd0c7E2fA3ymn7IAGwaYIAJ01ENqMwZci4MQxAQVz1fffIw,17,Gu0-dhJT1_53zm_TQt4BQ1uQ_CZhl4fHrN33OQG3cfz5teM,78,Ex8bjy7LrKxLFOREkfoP4zWxqoGLlMfBDEarookUAG3e1oI,13,CFzYkIOahAjlPoH3xnfCE3T-lwD4XR26V5zDV7yEJDNSZ5jE,81,xhe0Y3CU01HOnhasc-CMjcxmk61WYkfgaNurbhomxqXEnTJP,350,119,131,28,429,15,1,6,22,1,1,2,1,0,2,0,3,5,1,0,1,2,0,0,1
EUROPE WEST,jEKBmC8ROMSFH1N5YJ036gYwSE3keJhGayd8pRzhKgx7wlOf,50,GEwlnvESLSCGFNMMmcouKgR4ZttSTrb0NHROnTwnwGF3guRk,131,Gu0-dhJT1_53zm_TQt4BQ1uQ_CZhl4fHrN33OQG3cfz5teM,80,7Fa7S45GBBFAvaW3BGMq4AJpClEZ61ZamQCUPYjGAgBkxRg,236,HFwAPvfUZTHL0R4vTeeKCmzcVa3s3V2cnHQprU4E4vYzY5c,267,107,517,111,119,200,nQhahUd60Zd9RE8eJLQ5JiunCVQXWLf-A2znpj0_xoeub7i3,777,bGAVFQkc9renGDwyTVCnYMs8m8DDBosmt-CoQov6_MBc3Mac,76,1WE8kYJBBiCJE3YtkFg0HjdCllLRGb5iP-l4NIPx1ClbPo-F,711,d5pe_bieSt0w23RZj7ncyufcynRIj0p5kaZ-wEESvwqRwRo,429,4itbBHHnxecZmRajjGb8mIZdeb-dRfvkI1zcUrEFbb0YFAXA4iIejUuyjA,89,78,119,200,887,163,1,12,23,1,0,2,0,1,1,1,0,7,2,0,0,1,0,1,1
EUROPE WEST,4ozhsyN786-6rY6bxFBeipJPDpO9QiVJ2OMqDjZ0a6oVgd1YKKXxm3rCJA,8,Gu0-dhJT1_53zm_TQt4BQ1uQ_CZhl4fHrN33OQG3cfz5teM,80,72QFHiT3zJt_guSh7WzUERLtuM7FVkW-2K4cL2Ah4rBmHXg,777,eSNRHeCFxSPuYY55WQdr4vnSBQ8I2IsOUCe650COECtaao3jZRdc5HUFzA,15,HGZg6ZT-tlBs8Wm9Q41V13K_uqfXMPmuukAyRlErF6cd6S_u,89,23,78,200,28,119,PCaS8wph4oTEfW6Nwdv2N9PQTjhCPZGJniQxEnyzkc7wntA_DAFcwdfnDg,19,C1IzNvLE-VEThVn1AfkCwmXDirdUK7wMmpvtcq5isOC_-StJk90jbiNqPw,131,SPvcl8hhAxoF67Fyxd-NfBlg_DRxWvByXCEYnwiQu9GIOOk,166,jHhv4MzHZQJE_oe4eS_KHGepYbXjepnYqUEVim7me0Xhl1I,110,ZWrN1mI99SJM3tpf-UasnYwoHtbZR0KURM154rdEK2OLGIDW,40,163,119,150,517,238,1,30,11,0,2,0,0,2,0,0,8,2,0,1,0,0,1,0,0
EUROPE WEST,-0xKeKNvTNUPuswOsqGYJVhcBlx-ydIhH_wJ30Y-1_44Iww,113,LbagGIrqAB9pVUNO51qrQo_--GT5fNmWiRlXHLR8V7uXtxo,60,RYVNtsRyezqfrVQxWx966Ot5cHUuQI0GgXb8aLg_37tLCeo,31,X_pa7lUCrVFFwWp-qpcKtI0TcJf-FeQRxoe2Y72L20wxIf0,15,eQJdQpIaA7DX9dfeucVavwVdVI4aCrQVrYmc2sU55vS28mM,43,62,119,163,166,429,CZ9zux0ae8uftNEUcY7gLmwA0tLumKKJYLVEq69NgfUrOii5,126,eDl_XQzivMCCub5iFVaZbdGX0l9fLjetizqnjJmfo-H8Fq2aDd2eqCP2ow,30,6cEq_LT33uJteTTKgcKcnm6XUtv0-WVYIfVbG914b297S7c,221,hSMhFmADtP5-_UiD3HiJ-_oPGgS1wWBIteIVnSUZl-GVQls,21,idQLhjMgZlSyhtByDlV3GC7FHNXJvFGkdLzEQ9OvMPx7PVPX,350,111,55,84,166,38,0,26,9,0,3,0,0,2,0,0,10,1,0,1,0,0,2,0,0
EUROPE WEST,-0xKeKNvTNUPuswOsqGYJVhcBlx-ydIhH_wJ30Y-1_44Iww,58,k2a5HoRnB083XF5CiSBpN2YAzi6wEC6nvuuynbTwdJ1-i_c,104,7nywNCOnXyibsU3cz-I62uZN3w2b5JtbfA4vE9_bWPShRBg,55,GoTdHb1N2H5H8aKnGttUR3UZbf_6y6KQk_SUx7Etj7pdHO8,119,F66NXGYFavcAokjrfJpUel2USWZkq8NHqpJTd_G27IMtrFI,44,117,29,517,166,268,CZ9zux0ae8uftNEUcY7gLmwA0tLumKKJYLVEq69NgfUrOii5,92,khhSxpf1Z-fKahomLMHOYylCIupdYjMxa0K46wb3cbPfeXM,245,-7clMexNnoodWkuxAcVbf7URvWSMJDUzAatsHhUZ5XsLFlc,518,t2FwwZkUNMOehZ-CG2zm2GMI37C3r9QcODQZlhU9byDmR3g,221,ZQVrXTDsZaazc90SeMqbIl2EYEZI1i0Iwbs6xlxA97rOod0,16,163,166,429,555,887,1,12,32,1,1,3,0,2,0,1,6,8,1,0,1,1,0,2,1
EUROPE WEST,t6vzJOdTrnFlbjiysfDD7eKSyUEC0z27laUu_qlZHythn8Y,24,KOdyW7xgmCkbSbNl9uGEOEu6RXrOzcBiIA2tmzGzdAshP30,78,l18PKfukA9g-ht9isV1mMVrEV6nhaAKlTercHfv84y6FtUZjVgRgHax1mA,7,DItXTeFPkWtK8I5fGxZxUQlV_HBmnzL_FQ-sZVorleornkU,221,qfbOKbPz0KKMmR4cvn0HDr0YOoiCdWFRS29wtV0e4WBA0FI,16,91,429,555,141,122,-0xKeKNvTNUPuswOsqGYJVhcBlx-ydIhH_wJ30Y-1_44Iww,113,8QfqEUoR3fdos-fFlF1RcuSctLNRzYJxv2eWLNY__dbyn-M3aNmAUv61cA,59,7nywNCOnXyibsU3cz-I62uZN3w2b5JtbfA4vE9_bWPShRBg,55,XeEV4QKsXKwzj0jS6cdM52KG-QGYBVNKSMRwFKyRyaZ2XBQ,119,KYmmirN2XBpkmLRIZhnA1tyHxc4oeJ40_w0TA0TproG8HTY,53,15,-1,23,163,166,0,31,29,1,2,4,0,2,0,1,6,8,1,0,1,0,1,1,1
